"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ESPINAR (000)",1067,356,711
"Sin nivel (001)",33,5,28
"Educación inicial (002)",1,,1
"Primaria (003)",300,104,196
"Secundaria (004)",546,193,353
"Superior no univ. incompleta (005)",47,15,32
"Superior no univ. completa (006)",88,19,69
"Superior univ. incompleta (007)",23,9,14
"Superior univ. completa (008)",29,11,18
"De 14 a 29 años (010)",591,261,330
"Sin nivel (011)",5,2,3
"Primaria (013)",100,49,51
"Secundaria (014)",356,165,191
"Superior no univ. incompleta (015)",32,13,19
"Superior no univ. completa (016)",59,16,43
"Superior univ. incompleta (017)",17,7,10
"Superior univ. completa (018)",22,9,13
"De 30 a 44 años (020)",326,76,250
"Sin nivel (021)",9,3,6
"Educación inicial (022)",1,,1
"Primaria (023)",118,39,79
"Secundaria (024)",150,25,125
"Superior no univ. incompleta (025)",12,2,10
"Superior no univ. completa (026)",24,3,21
"Superior univ. incompleta (027)",6,2,4
"Superior univ. completa (028)",6,2,4
"De 45 a 64 años (030)",129,19,110
"Sin nivel (031)",8,,8
"Primaria (033)",75,16,59
"Secundaria (034)",37,3,34
"Superior no univ. incompleta (035)",3,,3
"Superior no univ. completa (036)",5,,5
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",21,,21
"Sin nivel (041)",11,,11
"Primaria (043)",7,,7
"Secundaria (044)",3,,3
,,,
"AREA URBANA (050)",731,201,530
"Sin nivel (051)",20,2,18
"Educación inicial (052)",1,,1
"Primaria (053)",174,46,128
"Secundaria (054)",367,110,257
"Superior no univ. incompleta (055)",41,12,29
"Superior no univ. completa (056)",78,13,65
"Superior univ. incompleta (057)",23,9,14
"Superior univ. completa (058)",27,9,18
"De 14 a 29 años (060)",394,149,245
"Sin nivel (061)",3,1,2
"Primaria (063)",46,16,30
"Secundaria (064)",228,96,132
"Superior no univ. incompleta (065)",28,10,18
"Superior no univ. completa (066)",52,12,40
"Superior univ. incompleta (067)",17,7,10
"Superior univ. completa (068)",20,7,13
"De 30 a 44 años (070)",237,42,195
"Sin nivel (071)",7,1,6
"Educación inicial (072)",1,,1
"Primaria (073)",77,22,55
"Secundaria (074)",109,12,97
"Superior no univ. incompleta (075)",10,2,8
"Superior no univ. completa (076)",21,1,20
"Superior univ. incompleta (077)",6,2,4
"Superior univ. completa (078)",6,2,4
"De 45 a 64 años (080)",89,10,79
"Sin nivel (081)",4,,4
"Primaria (083)",48,8,40
"Secundaria (084)",28,2,26
"Superior no univ. incompleta (085)",3,,3
"Superior no univ. completa (086)",5,,5
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",11,,11
"Sin nivel (091)",6,,6
"Primaria (093)",3,,3
"Secundaria (094)",2,,2
,,,
"AREA RURAL (100)",336,155,181
"Sin nivel (101)",13,3,10
"Primaria (103)",126,58,68
"Secundaria (104)",179,83,96
"Superior no univ. incompleta (105)",6,3,3
"Superior no univ. completa (106)",10,6,4
"Superior univ. completa (108)",2,2,
"De 14 a 29 años (110)",197,112,85
"Sin nivel (111)",2,1,1
"Primaria (113)",54,33,21
"Secundaria (114)",128,69,59
"Superior no univ. incompleta (115)",4,3,1
"Superior no univ. completa (116)",7,4,3
"Superior univ. completa (118)",2,2,
"De 30 a 44 años (120)",89,34,55
"Sin nivel (121)",2,2,
"Primaria (123)",41,17,24
"Secundaria (124)",41,13,28
"Superior no univ. incompleta (125)",2,,2
"Superior no univ. completa (126)",3,2,1
"De 45 a 64 años (130)",40,9,31
"Sin nivel (131)",4,,4
"Primaria (133)",27,8,19
"Secundaria (134)",9,1,8
"De 65 y más años (140)",10,,10
"Sin nivel (141)",5,,5
"Primaria (143)",4,,4
"Secundaria (144)",1,,1
