"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OYON (000)",19329,2455,590,6540,6373,826,782,509,1254
"Quechua (001)",1457,351,1,552,323,49,52,35,94
"Aymara (002)",6,3,,1,1,1,,,
"Ashaninca (003)",4,2,,,2,,,,
"Otra lengua nativa (004)",6,,,4,2,,,,
"Castellano (005)",17817,2088,589,5972,6040,776,728,474,1150
"Idioma extranjero (006)",2,,,,,,2,,
"Es sordomudo/a (007)",37,11,,11,5,,,,10
"Hombres (009)",10180,787,290,3146,3752,546,556,339,764
"Quechua (010)",689,36,1,273,230,46,27,24,52
"Aymara (011)",3,,,1,1,1,,,
"Ashaninca (012)",2,,,,2,,,,
"Otra lengua nativa (013)",3,,,2,1,,,,
"Castellano (014)",9471,749,289,2869,3513,499,528,315,709
"Idioma extranjero (015)",1,,,,,,1,,
"Es sordomudo/a (016)",11,2,,1,5,,,,3
"Mujeres (018)",9149,1668,300,3394,2621,280,226,170,490
"Quechua (019)",768,315,,279,93,3,25,11,42
"Aymara (020)",3,3,,,,,,,
"Ashaninca (021)",2,2,,,,,,,
"Otra lengua nativa (022)",3,,,2,1,,,,
"Castellano (023)",8346,1339,300,3103,2527,277,200,159,441
"Idioma extranjero (024)",1,,,,,,1,,
"Es sordomudo/a (025)",26,9,,10,,,,,7
,,,,,,,,,
"URBANA (027)",12361,1549,436,4119,4211,510,435,322,779
"Quechua (028)",918,196,1,341,203,34,45,26,72
"Ashaninca (030)",4,2,,,2,,,,
"Otra lengua nativa (031)",5,,,4,1,,,,
"Castellano (032)",11408,1347,435,3765,4004,476,388,296,697
"Idioma extranjero (033)",2,,,,,,2,,
"Es sordomudo/a (034)",24,4,,9,1,,,,10
"Hombres (036)",5986,492,211,1911,2252,278,267,179,396
"Quechua (037)",429,21,1,151,140,31,25,17,43
"Ashaninca (039)",2,,,,2,,,,
"Otra lengua nativa (040)",2,,,2,,,,,
"Castellano (041)",5547,471,210,1757,2109,247,241,162,350
"Idioma extranjero (042)",1,,,,,,1,,
"Es sordomudo/a (043)",5,,,1,1,,,,3
"Mujeres (045)",6375,1057,225,2208,1959,232,168,143,383
"Quechua (046)",489,175,,190,63,3,20,9,29
"Ashaninca (048)",2,2,,,,,,,
"Otra lengua nativa (049)",3,,,2,1,,,,
"Castellano (050)",5861,876,225,2008,1895,229,147,134,347
"Idioma extranjero (051)",1,,,,,,1,,
"Es sordomudo/a (052)",19,4,,8,,,,,7
,,,,,,,,,
"RURAL (054)",6968,906,154,2421,2162,316,347,187,475
"Quechua (055)",539,155,,211,120,15,7,9,22
"Aymara (056)",6,3,,1,1,1,,,
"Otra lengua nativa (058)",1,,,,1,,,,
"Castellano (059)",6409,741,154,2207,2036,300,340,178,453
"Es sordomudo/a (061)",13,7,,2,4,,,,
"Hombres (063)",4194,295,79,1235,1500,268,289,160,368
"Quechua (064)",260,15,,122,90,15,2,7,9
"Aymara (065)",3,,,1,1,1,,,
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",3924,278,79,1112,1404,252,287,153,359
"Es sordomudo/a (070)",6,2,,,4,,,,
"Mujeres (072)",2774,611,75,1186,662,48,58,27,107
"Quechua (073)",279,140,,89,30,,5,2,13
"Aymara (074)",3,3,,,,,,,
"Castellano (077)",2485,463,75,1095,632,48,53,25,94
"Es sordomudo/a (079)",7,5,,2,,,,,
