"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TALARA (000)",35679,33295,136,7703,8229,6455,6531,2622,1074,545,2384,103732
"De 12 a 14 años (001)",47,17,2,11,4,,,,,,30,19
"De 15 a 19 años (002)",934,790,13,683,83,8,3,,,,144,885
"De 20 a 24 años (003)",3810,3154,15,2152,782,169,32,4,,,656,4378
"De 25 a 29 años (004)",4663,4132,12,1704,1600,603,202,9,2,,531,7634
"De 30 a 34 años (005)",4346,4085,14,940,1466,1030,563,64,7,1,261,9807
"De 35 a 39 años (006)",4073,3922,11,567,1201,1114,846,156,23,4,151,11180
"De 40 a 44 años (007)",4020,3866,10,424,1020,1058,1044,260,41,9,154,12233
"De 45 a 49 años (008)",3626,3497,15,360,742,884,994,385,86,31,129,12318
"De 50 y más años (009)",10160,9832,44,862,1331,1589,2847,1744,915,500,328,45278
"Sin nivel (010)",1417,1322,5,121,139,180,339,268,169,101,95,6713
"De 15 a 19 años (012)",5,2,,1,1,,,,,,3,3
"De 20 a 24 años (013)",48,34,,21,9,3,1,,,,14,52
"De 25 a 29 años (014)",42,32,,9,11,5,5,1,1,,10,81
"De 30 a 34 años (015)",89,75,,12,20,26,14,3,,,14,210
"De 35 a 39 años (016)",93,86,,9,12,32,24,8,,1,7,296
"De 40 a 44 años (017)",115,107,,10,12,17,43,16,7,2,8,454
"De 45 a 49 años (018)",126,122,1,13,9,18,42,25,9,5,4,566
"De 50 y más años (019)",899,864,4,46,65,79,210,215,152,93,35,5051
"Educacion Inicial (020)",30,26,,9,8,6,3,,,,4,57
"De 15 a 19 años (022)",1,1,,,1,,,,,,,2
"De 20 a 24 años (023)",12,10,,7,1,2,,,,,2,15
