"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SULLANA (000)",79523,73020,306,16142,17070,12705,14136,7255,3627,1779,6503,247036
"De 12 a 14 años (001)",108,48,5,34,9,,,,,,60,52
"De 15 a 19 años (002)",2034,1646,21,1456,141,20,8,,,,388,1830
"De 20 a 24 años (003)",8427,6568,32,4393,1761,325,53,4,,,1859,9135
"De 25 a 29 años (004)",10780,9175,42,3698,3595,1373,440,23,4,,1605,17020
"De 30 a 34 años (005)",10774,9943,28,2289,3797,2369,1295,142,19,4,831,23591
"De 35 a 39 años (006)",9683,9112,25,1233,2751,2526,2099,406,65,7,571,26528
"De 40 a 44 años (007)",8361,8057,24,858,1815,2122,2330,719,156,33,304,27241
"De 45 a 49 años (008)",7237,6971,24,691,1178,1399,2252,1000,336,91,266,27375
"De 50 y más años (009)",22119,21500,105,1490,2023,2571,5659,4961,3047,1644,619,114264
"PEA (010)",21224,18760,108,4648,4928,3594,3446,1352,485,199,2464,55153
"De 12 a 14 años (011)",15,9,1,5,3,,,,,,6,11
"De 15 a 19 años (012)",226,188,3,170,12,3,,,,,38,203
"De 20 a 24 años (013)",1712,1034,11,732,240,41,8,2,,,678,1381
"De 25 a 29 años (014)",2878,2113,14,1062,721,244,68,4,,,765,3547
"De 30 a 34 años (015)",3193,2819,11,909,1062,519,297,19,2,,374,5985
"De 35 a 39 años (016)",3361,3102,12,604,1006,782,575,108,15,,259,8235
"De 40 a 44 años (017)",3159,3035,9,427,817,803,732,202,37,8,124,9326
"De 45 a 49 años (018)",2553,2447,12,351,509,551,674,268,68,14,106,8405
"De 50 y más años (019)",4127,4013,35,388,558,651,1092,749,363,177,114,18060
