"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TAMBOPATA (000)",58239,8338,13704,13728,10615,6647,5207
"Católica (001)",45853,6371,10523,11018,8502,5359,4080
"Cristiana/Evangélica (002)",6741,1046,1594,1402,1222,785,692
"Otra (003)",2916,459,713,655,502,298,289
"Ninguna (004)",2729,462,874,653,389,205,146
"Hombres (006)",31144,4151,6895,7074,5821,4060,3143
"Católica (007)",24531,3200,5233,5633,4670,3303,2492
"Cristiana/Evangélica (008)",3387,472,765,694,614,447,395
"Otra (009)",1493,222,352,334,261,166,158
"Ninguna (010)",1733,257,545,413,276,144,98
"Mujeres (012)",27095,4187,6809,6654,4794,2587,2064
"Católica (013)",21322,3171,5290,5385,3832,2056,1588
"Cristiana/Evangélica (014)",3354,574,829,708,608,338,297
"Otra (015)",1423,237,361,321,241,132,131
"Ninguna (016)",996,205,329,240,113,61,48
,,,,,,,
"URBANA (018)",48426,7182,11449,11379,8878,5518,4020
"Católica (019)",38130,5503,8780,9143,7132,4434,3138
"Cristiana/Evangélica (020)",5466,876,1323,1131,979,641,516
"Otra (021)",2550,408,620,578,439,265,240
"Ninguna (022)",2280,395,726,527,328,178,126
"Hombres (024)",25023,3524,5574,5628,4695,3275,2327
"Católica (025)",19669,2728,4218,4474,3770,2645,1834
"Cristiana/Evangélica (026)",2641,381,609,539,472,358,282
"Otra (027)",1272,196,302,281,220,146,127
"Ninguna (028)",1441,219,445,334,233,126,84
"Mujeres (030)",23403,3658,5875,5751,4183,2243,1693
"Católica (031)",18461,2775,4562,4669,3362,1789,1304
"Cristiana/Evangélica (032)",2825,495,714,592,507,283,234
"Otra (033)",1278,212,318,297,219,119,113
"Ninguna (034)",839,176,281,193,95,52,42
,,,,,,,
"RURAL (036)",9813,1156,2255,2349,1737,1129,1187
"Católica (037)",7723,868,1743,1875,1370,925,942
"Cristiana/Evangélica (038)",1275,170,271,271,243,144,176
"Otra (039)",366,51,93,77,63,33,49
"Ninguna (040)",449,67,148,126,61,27,20
"Hombres (042)",6121,627,1321,1446,1126,785,816
"Católica (043)",4862,472,1015,1159,900,658,658
"Cristiana/Evangélica (044)",746,91,156,155,142,89,113
"Otra (045)",221,26,50,53,41,20,31
"Ninguna (046)",292,38,100,79,43,18,14
"Mujeres (048)",3692,529,934,903,611,344,371
"Católica (049)",2861,396,728,716,470,267,284
"Cristiana/Evangélica (050)",529,79,115,116,101,55,63
"Otra (051)",145,25,43,24,22,13,18
"Ninguna (052)",157,29,48,47,18,9,6
