"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",24239,710,8593,8470,5228,1238
"Empleado (001)",3756,27,1164,1781,732,52
"Obrero (002)",4822,103,2009,1557,927,226
"Trabajador independiente (003)",10690,113,2964,3962,2856,795
"Empleador o patrono (004)",613,7,136,201,200,69
"Trabajador familiar no remunerado (005)",3856,425,2056,851,439,85
"Trabajador del hogar (006)",502,35,264,118,74,11
"Hombres (008)",17619,494,6132,5976,3961,1056
"Empleado (009)",2035,17,549,945,491,33
"Obrero (010)",4320,89,1804,1382,831,214
"Trabajador independiente (011)",8549,81,2320,3155,2306,687
"Empleador o patrono (012)",500,3,106,155,175,61
"Trabajador familiar no remunerado (013)",2194,300,1343,336,155,60
"Trabajador del hogar (014)",21,4,10,3,3,1
"Mujeres (016)",6620,216,2461,2494,1267,182
"Empleado (017)",1721,10,615,836,241,19
"Obrero (018)",502,14,205,175,96,12
"Trabajador independiente (019)",2141,32,644,807,550,108
"Empleador o patrono (020)",113,4,30,46,25,8
"Trabajador familiar no remunerado (021)",1662,125,713,515,284,25
"Trabajador del hogar (022)",481,31,254,115,71,10
,,,,,,
"URBANA (024)",12143,313,3799,4558,2876,597
"Empleado (025)",3299,26,1039,1535,652,47
"Obrero (026)",1952,38,704,684,431,95
"Trabajador independiente (027)",5154,63,1319,1903,1488,381
"Empleador o patrono (028)",326,2,59,120,109,36
"Trabajador familiar no remunerado (029)",1012,162,463,222,134,31
"Trabajador del hogar (030)",400,22,215,94,62,7
"Hombres (032)",8248,228,2530,2935,2056,499
"Empleado (033)",1747,17,493,784,423,30
"Obrero (034)",1761,34,647,602,387,91
"Trabajador independiente (035)",3889,49,1020,1382,1116,322
"Empleador o patrono (036)",270,2,52,86,97,33
"Trabajador familiar no remunerado (037)",565,122,312,78,31,22
"Trabajador del hogar (038)",16,4,6,3,2,1
"Mujeres (040)",3895,85,1269,1623,820,98
"Empleado (041)",1552,9,546,751,229,17
"Obrero (042)",191,4,57,82,44,4
"Trabajador independiente (043)",1265,14,299,521,372,59
"Empleador o patrono (044)",56,,7,34,12,3
"Trabajador familiar no remunerado (045)",447,40,151,144,103,9
"Trabajador del hogar (046)",384,18,209,91,60,6
,,,,,,
"RURAL (048)",12096,397,4794,3912,2352,641
"Empleado (049)",457,1,125,246,80,5
"Obrero (050)",2870,65,1305,873,496,131
"Trabajador independiente (051)",5536,50,1645,2059,1368,414
"Empleador o patrono (052)",287,5,77,81,91,33
"Trabajador familiar no remunerado (053)",2844,263,1593,629,305,54
"Trabajador del hogar (054)",102,13,49,24,12,4
"Hombres (056)",9371,266,3602,3041,1905,557
"Empleado (057)",288,,56,161,68,3
"Obrero (058)",2559,55,1157,780,444,123
"Trabajador independiente (059)",4660,32,1300,1773,1190,365
"Empleador o patrono (060)",230,1,54,69,78,28
"Trabajador familiar no remunerado (061)",1629,178,1031,258,124,38
"Trabajador del hogar (062)",5,,4,,1,
"Mujeres (064)",2725,131,1192,871,447,84
"Empleado (065)",169,1,69,85,12,2
"Obrero (066)",311,10,148,93,52,8
"Trabajador independiente (067)",876,18,345,286,178,49
"Empleador o patrono (068)",57,4,23,12,13,5
"Trabajador familiar no remunerado (069)",1215,85,562,371,181,16
"Trabajador del hogar (070)",97,13,45,24,11,4
