"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TOCACHE (000)",63138,14582,21274,15337,9558,2387
"Hombres (001)",35776,7561,12428,8687,5796,1304
"Mujeres (002)",27362,7021,8846,6650,3762,1083
"PEA (003)",30224,683,10866,10774,6747,1154
"Hombres (004)",23625,504,8651,8164,5344,962
"Mujeres (005)",6599,179,2215,2610,1403,192
"Ocupada (006)",29486,644,10499,10581,6628,1134
"Hombres (007)",23032,477,8376,8000,5235,944
"Mujeres (008)",6454,167,2123,2581,1393,190
"Desocupada (009)",738,39,367,193,119,20
"Hombres (010)",593,27,275,164,109,18
"Mujeres (011)",145,12,92,29,10,2
"No PEA (012)",32914,13899,10408,4563,2811,1233
"Hombres (013)",12151,7057,3777,523,452,342
"Mujeres (014)",20763,6842,6631,4040,2359,891
,,,,,,
"URBANA (018)",32281,7004,11152,7921,5011,1193
"Hombres (019)",17589,3554,6316,4229,2888,602
"Mujeres (020)",14692,3450,4836,3692,2123,591
"PEA (021)",15501,322,5321,5782,3563,513
"Hombres (022)",10990,217,3861,3915,2594,403
"Mujeres (023)",4511,105,1460,1867,969,110
"Ocupada (024)",15070,310,5103,5674,3485,498
"Hombres (025)",10659,209,3704,3830,2526,390
"Mujeres (026)",4411,101,1399,1844,959,108
"Desocupada (027)",431,12,218,108,78,15
"Hombres (028)",331,8,157,85,68,13
"Mujeres (029)",100,4,61,23,10,2
"No PEA (030)",16780,6682,5831,2139,1448,680
"Hombres (031)",6599,3337,2455,314,294,199
"Mujeres (032)",10181,3345,3376,1825,1154,481
,,,,,,
"RURAL (036)",30857,7578,10122,7416,4547,1194
"Hombres (037)",18187,4007,6112,4458,2908,702
"Mujeres (038)",12670,3571,4010,2958,1639,492
"PEA (039)",14723,361,5545,4992,3184,641
"Hombres (040)",12635,287,4790,4249,2750,559
"Mujeres (041)",2088,74,755,743,434,82
"Ocupada (042)",14416,334,5396,4907,3143,636
"Hombres (043)",12373,268,4672,4170,2709,554
"Mujeres (044)",2043,66,724,737,434,82
"Desocupada (045)",307,27,149,85,41,5
"Hombres (046)",262,19,118,79,41,5
"Mujeres (047)",45,8,31,6,,
"No PEA (048)",16134,7217,4577,2424,1363,553
"Hombres (049)",5552,3720,1322,209,158,143
"Mujeres (050)",10582,3497,3255,2215,1205,410
