"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BOLIVAR (000)",4256,3676,216,166,198
"Agric., ganadería, caza y silvicultura (001)",2641,2595,36,10,
"Explotación de minas y canteras (003)",19,11,5,2,1
"Industrias manufactureras (004)",121,117,3,1,
"Suministro de electricidad, gas y agua (005)",1,,,1,
"Construcción (006)",224,170,43,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",177,171,3,3,
"Venta, mant.y rep. veh.autom y motoc. (008)",5,4,1,,
"Comercio al por mayor (009)",12,11,,1,
"Comercio al por menor (010)",160,156,2,2,
"Hoteles y restaurantes (011)",88,85,2,,1
"Trans., almac. y comunicaciones (012)",54,39,8,6,1
"Intermediación financiera (013)",2,1,,,1
"Activid.inmobil., empres. y alquileres (014)",28,10,8,10,
"Admin.pub. y defensa; p. segur soc.afil (015)",122,,,,122
"Enseñanza (016)",366,109,91,115,51
"Servicios sociales y de salud (017)",45,24,1,2,18
"Otras activ. serv.comun.soc y personales (018)",36,29,4,3,
"Hogares privados con servicio doméstico (019)",105,105,,,
"Actividad economica no especificada (021)",227,210,12,2,3
"Hombres (022)",3456,3036,160,117,143
"Agric., ganadería, caza y silvicultura (023)",2490,2448,33,9,
"Explotación de minas y canteras (025)",19,11,5,2,1
"Industrias manufactureras (026)",88,84,3,1,
"Suministro de electricidad, gas y agua (027)",1,,,1,
"Construcción (028)",221,167,43,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",93,89,2,2,
"Venta, mant.y rep. veh.autom y motoc. (030)",5,4,1,,
"Comercio al por mayor (031)",4,4,,,
"Comercio al por menor (032)",84,81,1,2,
"Hoteles y restaurantes (033)",8,7,,,1
"Trans., almac. y comunicaciones (034)",43,31,5,6,1
"Intermediación financiera (035)",2,1,,,1
"Activid.inmobil., empres. y alquileres (036)",21,5,8,8,
"Admin.pub. y defensa; p. segur soc.afil (037)",95,,,,95
"Enseñanza (038)",201,47,49,73,32
"Servicios sociales y de salud (039)",22,13,,,9
"Otras activ. serv.comun.soc y personales (040)",15,8,4,3,
"Hogares privados con servicio doméstico (041)",13,13,,,
"Actividad economica no especificada (043)",124,112,8,1,3
"Mujeres (044)",800,640,56,49,55
"Agric., ganadería, caza y silvicultura (045)",151,147,3,1,
"Industrias manufactureras (048)",33,33,,,
