"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia LA MAR (000)",1225,427,798
"Sin nivel (001)",188,43,145
"Educación inicial (002)",1,1,
"Primaria (003)",483,167,316
"Secundaria (004)",457,184,273
"Superior no univ. incompleta (005)",33,11,22
"Superior no univ. completa (006)",22,8,14
"Superior univ. incompleta (007)",20,4,16
"Superior univ. completa (008)",21,9,12
"Hombres (010)",884,294,590
"Sin nivel (011)",112,27,85
"Primaria (013)",355,115,240
"Secundaria (014)",347,133,214
"Superior no univ. incompleta (015)",23,8,15
"Superior no univ. completa (016)",16,3,13
"Superior univ. incompleta (017)",16,3,13
"Superior univ. completa (018)",15,5,10
"Mujeres (020)",341,133,208
"Sin nivel (021)",76,16,60
"Educación inicial (022)",1,1,
"Primaria (023)",128,52,76
"Secundaria (024)",110,51,59
"Superior no univ. incompleta (025)",10,3,7
"Superior no univ. completa (026)",6,5,1
"Superior univ. incompleta (027)",4,1,3
"Superior univ. completa (028)",6,4,2
,,,
"AREA URBANA (030)",731,254,477
"Sin nivel (031)",114,33,81
"Educación inicial (032)",1,1,
"Primaria (033)",274,92,182
"Secundaria (034)",263,101,162
"Superior no univ. incompleta (035)",27,9,18
"Superior no univ. completa (036)",17,8,9
"Superior univ. incompleta (037)",16,2,14
"Superior univ. completa (038)",19,8,11
"Hombres (040)",492,170,322
"Sin nivel (041)",56,20,36
"Primaria (043)",188,61,127
"Secundaria (044)",192,73,119
"Superior no univ. incompleta (045)",17,6,11
"Superior no univ. completa (046)",11,3,8
"Superior univ. incompleta (047)",14,2,12
"Superior univ. completa (048)",14,5,9
"Mujeres (050)",239,84,155
"Sin nivel (051)",58,13,45
"Educación inicial (052)",1,1,
"Primaria (053)",86,31,55
"Secundaria (054)",71,28,43
"Superior no univ. incompleta (055)",10,3,7
"Superior no univ. completa (056)",6,5,1
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",5,3,2
,,,
"AREA RURAL (060)",494,173,321
"Sin nivel (061)",74,10,64
"Primaria (063)",209,75,134
"Secundaria (064)",194,83,111
"Superior no univ. incompleta (065)",6,2,4
"Superior no univ. completa (066)",5,,5
"Superior univ. incompleta (067)",4,2,2
"Superior univ. completa (068)",2,1,1
"Hombres (070)",392,124,268
"Sin nivel (071)",56,7,49
"Primaria (073)",167,54,113
"Secundaria (074)",155,60,95
"Superior no univ. incompleta (075)",6,2,4
"Superior no univ. completa (076)",5,,5
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",1,,1
"Mujeres (080)",102,49,53
"Sin nivel (081)",18,3,15
"Primaria (083)",42,21,21
"Secundaria (084)",39,23,16
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",1,1,
