"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",133011,28133,3895,53415,35667,2058,2415,2861,4567
"Jefe o Jefa (001)",36110,8075,33,14402,8896,616,1146,745,2197
"Esposa(o)/ compa¤era(o) (002)",24075,8400,43,9016,4382,305,549,344,1036
"Hijo(a)/ hijastro(a) (003)",59127,8224,3304,25640,18511,801,480,1354,813
"Yerno/ nuera (004)",1310,40,,282,680,52,63,66,127
"Nieto(a) (005)",3434,877,338,1495,647,19,3,42,13
"Padres/ suegros (006)",1745,1393,1,272,59,2,6,2,10
"Otro(a) pariente (007)",5625,978,165,1937,1889,164,89,206,197
"Trabajador(a) del hogar (008)",232,22,,73,114,17,3,3,
"Pensionista (009)",78,1,,15,38,4,2,5,13
"Otro(a) no pariente (010)",1275,123,11,283,451,78,74,94,161
"Hombres (012)",64467,8537,1943,27482,20166,1073,1318,1520,2428
"Jefe o Jefa (013)",26459,3340,21,12049,7472,453,901,550,1673
"Esposa(o)/ compa¤era(o) (014)",1299,164,2,433,476,44,31,48,101
"Hijo(a)/ hijastro(a) (015)",30250,3945,1658,12781,10160,390,246,696,374
"Yerno/ nuera (016)",649,7,,115,345,30,42,35,75
"Nieto(a) (017)",1815,461,185,784,345,9,1,22,8
"Padres/ suegros (018)",427,241,1,142,34,2,2,1,4
"Otro(a) pariente (019)",2811,337,71,1005,1039,96,55,114,94
"Trabajador(a) del hogar (020)",28,,,9,15,3,,1,
"Pensionista (021)",38,1,,8,19,2,1,2,5
"Otro(a) no pariente (022)",691,41,5,156,261,44,39,51,94
"Mujeres (024)",68544,19596,1952,25933,15501,985,1097,1341,2139
"Jefe o Jefa (025)",9651,4735,12,2353,1424,163,245,195,524
"Esposa(o)/ compa¤era(o) (026)",22776,8236,41,8583,3906,261,518,296,935
"Hijo(a)/ hijastro(a) (027)",28877,4279,1646,12859,8351,411,234,658,439
"Yerno/ nuera (028)",661,33,,167,335,22,21,31,52
"Nieto(a) (029)",1619,416,153,711,302,10,2,20,5
"Padres/ suegros (030)",1318,1152,,130,25,,4,1,6
"Otro(a) pariente (031)",2814,641,94,932,850,68,34,92,103
"Trabajador(a) del hogar (032)",204,22,,64,99,14,3,2,
"Pensionista (033)",40,,,7,19,2,1,3,8
"Otro(a) no pariente (034)",584,82,6,127,190,34,35,43,67
,,,,,,,,,
"URBANA (036)",59495,8157,1728,19958,18788,1685,2202,2602,4375
"Jefe o Jefa (037)",16267,1878,18,4913,5079,538,1056,698,2087
"Esposa(o)/ compa¤era(o) (038)",10143,1865,16,3346,2747,287,530,329,1023
"Hijo(a)/ hijastro(a) (039)",25000,2998,1417,9387,8300,561,394,1184,759
"Yerno/ nuera (040)",653,7,,67,309,38,54,56,122
"Nieto(a) (041)",1606,389,173,653,325,13,3,38,12
"Padres/ suegros (042)",777,519,1,192,45,2,6,2,10
"Otro(a) pariente (043)",3650,404,94,1110,1429,148,81,193,191
"Trabajador(a) del hogar (044)",214,17,,68,106,17,3,3,
