"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONTUMAZA (000)",39,35,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",12,12,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",4,3,1
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",16,13,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,5,
