"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TARMA (000)",30303,240,10909,10387,3639,1382,616,224,29,,2877
"Catolica (001)",25791,206,9193,8850,3173,1189,520,191,25,,2444
"Cristiana / Evangelica (002)",3764,29,1435,1306,389,151,79,25,4,,346
"Otra (003)",569,3,207,186,62,31,13,8,,,59
"Ninguna (004)",179,2,74,45,15,11,4,,,,28
,,,,,,,,,,,
"URBANA (006)",19988,130,6468,6929,2690,1070,472,174,19,,2036
"Catolica (007)",16933,108,5378,5880,2348,931,405,148,17,,1718
"Cristiana / Evangelica (008)",2489,20,893,871,277,106,53,21,2,,246
"Otra (009)",420,1,143,139,52,23,11,5,,,46
"Ninguna (010)",146,1,54,39,13,10,3,,,,26
,,,,,,,,,,,
"RURAL (012)",10315,110,4441,3458,949,312,144,50,10,,841
"Catolica (013)",8858,98,3815,2970,825,258,115,43,8,,726
"Cristiana / Evangelica (014)",1275,9,542,435,112,45,26,4,2,,100
"Otra (015)",149,2,64,47,10,8,2,3,,,13
"Ninguna (016)",33,1,20,6,2,1,1,,,,2
