"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SAN ROMAN (000)",93799,89756,33081,13079,14148,9712,11120,5053,3563,4043
"Católica (001)",79682,76249,27751,11199,12216,8358,9469,4263,2993,3433
"Cristiana/Evangélica (002)",5901,5661,2159,752,765,578,768,373,266,240
"Otra (003)",6024,5771,2256,783,859,603,688,326,256,253
"Ninguna (004)",2192,2075,915,345,308,173,195,91,48,117
,,,,,,,,,,
"URBANA (006)",85780,81915,30560,12327,13356,8997,9857,4170,2648,3865
"Católica (007)",72616,69344,25557,10537,11526,7724,8346,3482,2172,3272
"Cristiana/Evangélica (008)",5425,5193,2018,712,716,537,688,311,211,232
"Otra (009)",5617,5372,2100,740,813,568,638,291,222,245
"Ninguna (010)",2122,2006,885,338,301,168,185,86,43,116
,,,,,,,,,,
"RURAL (012)",8019,7841,2521,752,792,715,1263,883,915,178
"Católica (013)",7066,6905,2194,662,690,634,1123,781,821,161
"Cristiana/Evangélica (014)",476,468,141,40,49,41,80,62,55,8
"Otra (015)",407,399,156,43,46,35,50,35,34,8
"Ninguna (016)",70,69,30,7,7,5,10,5,5,1
