"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTIAGO DE CHUCO (000)",15421,10449,730,804,3438
"Empleado (001)",2343,551,219,377,1196
"Obrero (002)",4087,1126,328,401,2232
"Trabajador independiente (003)",6874,6737,137,,
"Empleador o patrono (004)",96,72,12,8,4
"Trabajador familiar no remunerado (005)",1706,1648,34,18,6
"Trabajador del hogar (006)",315,315,,,
"De 06 a 14 años (008)",232,223,8,1,
"Empleado (009)",4,3,1,,
"Obrero (010)",19,16,2,1,
"Trabajador independiente (011)",41,40,1,,
"Trabajador familiar no remunerado (013)",156,152,4,,
"Trabajador del hogar (014)",12,12,,,
"De 15 a 29 años (016)",5199,3465,277,246,1211
"Empleado (017)",692,206,48,66,372
"Obrero (018)",1692,536,152,168,836
"Trabajador independiente (019)",1645,1591,54,,
"Empleador o patrono (020)",19,14,1,3,1
"Trabajador familiar no remunerado (021)",1004,971,22,9,2
"Trabajador del hogar (022)",147,147,,,
"De 30 a 44 años (024)",5547,3232,294,377,1644
"Empleado (025)",1152,222,114,210,606
"Obrero (026)",1632,320,124,157,1031
"Trabajador independiente (027)",2355,2308,47,,
"Empleador o patrono (028)",33,22,4,4,3
"Trabajador familiar no remunerado (029)",288,273,5,6,4
"Trabajador del hogar (030)",87,87,,,
"De 45 a 64 años (032)",3297,2429,135,170,563
"Empleado (033)",467,109,55,100,203
"Obrero (034)",665,194,45,66,360
"Trabajador independiente (035)",1908,1880,28,,
"Empleador o patrono (036)",28,23,4,1,
"Trabajador familiar no remunerado (037)",183,177,3,3,
"Trabajador del hogar (038)",46,46,,,
"De 65 y más años (040)",1146,1100,16,10,20
"Empleado (041)",28,11,1,1,15
"Obrero (042)",79,60,5,9,5
"Trabajador independiente (043)",925,918,7,,
"Empleador o patrono (044)",16,13,3,,
"Trabajador familiar no remunerado (045)",75,75,,,
"Trabajador del hogar (046)",23,23,,,
,,,,,
"URBANA (048)",5261,2877,368,481,1535
"Empleado (049)",1557,431,175,288,663
"Obrero (050)",1680,496,129,189,866
"Trabajador independiente (051)",1603,1546,57,,
"Empleador o patrono (052)",25,18,1,3,3
"Trabajador familiar no remunerado (053)",259,249,6,1,3
"Trabajador del hogar (054)",137,137,,,
