"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ACOMAYO (000)",23248,3892,440,11873,5643,401,544,159,296
"Hombres (001)",11428,734,207,6154,3420,255,360,104,194
"Mujeres (002)",11820,3158,233,5719,2223,146,184,55,102
"PEA (003)",7899,1164,13,3521,2255,172,445,81,248
"Hombres (004)",5294,384,5,2484,1751,138,307,61,164
"Mujeres (005)",2605,780,8,1037,504,34,138,20,84
"Ocupada (006)",7633,1139,13,3407,2172,162,421,77,242
"Hombres (007)",5093,367,5,2397,1683,131,291,60,159
"Mujeres (008)",2540,772,8,1010,489,31,130,17,83
"Desocupada (009)",266,25,,114,83,10,24,4,6
"Hombres (010)",201,17,,87,68,7,16,1,5
"Mujeres (011)",65,8,,27,15,3,8,3,1
"No PEA (012)",15349,2728,427,8352,3388,229,99,78,48
"Hombres (013)",6134,350,202,3670,1669,117,53,43,30
"Mujeres (014)",9215,2378,225,4682,1719,112,46,35,18
,,,,,,,,,
"URBANA (018)",12428,1868,218,5948,3306,299,429,116,244
"Hombres (019)",6080,332,105,3018,1938,183,277,75,152
"Mujeres (020)",6348,1536,113,2930,1368,116,152,41,92
"PEA (021)",4648,644,8,1869,1375,120,364,67,201
"Hombres (022)",2945,164,2,1233,1032,92,246,50,126
"Mujeres (023)",1703,480,6,636,343,28,118,17,75
"Ocupada (024)",4486,628,8,1812,1319,111,348,63,197
"Hombres (025)",2826,153,2,1192,987,86,234,49,123
"Mujeres (026)",1660,475,6,620,332,25,114,14,74
"Desocupada (027)",162,16,,57,56,9,16,4,4
"Hombres (028)",119,11,,41,45,6,12,1,3
"Mujeres (029)",43,5,,16,11,3,4,3,1
"No PEA (030)",7780,1224,210,4079,1931,179,65,49,43
"Hombres (031)",3135,168,103,1785,906,91,31,25,26
"Mujeres (032)",4645,1056,107,2294,1025,88,34,24,17
,,,,,,,,,
"RURAL (036)",10820,2024,222,5925,2337,102,115,43,52
"Hombres (037)",5348,402,102,3136,1482,72,83,29,42
"Mujeres (038)",5472,1622,120,2789,855,30,32,14,10
"PEA (039)",3251,520,5,1652,880,52,81,14,47
"Hombres (040)",2349,220,3,1251,719,46,61,11,38
"Mujeres (041)",902,300,2,401,161,6,20,3,9
"Ocupada (042)",3147,511,5,1595,853,51,73,14,45
"Hombres (043)",2267,214,3,1205,696,45,57,11,36
"Mujeres (044)",880,297,2,390,157,6,16,3,9
"Desocupada (045)",104,9,,57,27,1,8,,2
"Hombres (046)",82,6,,46,23,1,4,,2
"Mujeres (047)",22,3,,11,4,,4,,
"No PEA (048)",7569,1504,217,4273,1457,50,34,29,5
"Hombres (049)",2999,182,99,1885,763,26,22,18,4
"Mujeres (050)",4570,1322,118,2388,694,24,12,11,1
