"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCAYO (000)",126376,945,38155,43027,18980,7045,2901,890,145,,14288
"Sin Nivel (001)",14209,244,5174,4424,1561,663,419,196,41,,1487
"Educación Inicial (002)",114,1,39,35,9,2,,,,,28
"Primaria (003)",33637,376,14259,11264,3140,1247,659,302,47,,2343
"Secundaria (004)",38845,249,14148,14297,4374,1331,522,134,24,,3766
"Sup. no Univ. Incompleta (005)",6045,17,1194,2478,986,239,93,15,,,1023
"Sup. no Univ. Completa (006)",11753,20,1352,4183,3061,1010,312,67,11,,1737
"Sup. Univ. Incompleta (007)",5765,15,828,2145,946,328,115,15,1,,1372
"Sup. Univ. Completa (008)",16008,23,1161,4201,4903,2225,781,161,21,,2532
,,,,,,,,,,,
"URBANA (010)",112266,827,32765,38176,17510,6554,2685,799,128,,12822
"Sin Nivel (011)",10717,198,3947,3231,1165,504,322,155,30,,1165
"Educación Inicial (012)",100,1,34,32,8,2,,,,,23
"Primaria (013)",27330,331,11492,9076,2596,1066,588,269,43,,1869
"Secundaria (014)",35528,225,12880,13157,4051,1240,490,125,23,,3337
"Sup. no Univ. Incompleta (015)",5807,17,1153,2386,949,232,93,14,,,963
"Sup. no Univ. Completa (016)",11423,19,1308,4067,2986,989,306,65,10,,1673
"Sup. Univ. Incompleta (017)",5645,13,815,2107,930,323,113,15,1,,1328
"Sup. Univ. Completa (018)",15716,23,1136,4120,4825,2198,773,156,21,,2464
,,,,,,,,,,,
"RURAL (020)",14110,118,5390,4851,1470,491,216,91,17,,1466
"Sin Nivel (021)",3492,46,1227,1193,396,159,97,41,11,,322
"Educación Inicial (022)",14,,5,3,1,,,,,,5
"Primaria (023)",6307,45,2767,2188,544,181,71,33,4,,474
"Secundaria (024)",3317,24,1268,1140,323,91,32,9,1,,429
"Sup. no Univ. Incompleta (025)",238,,41,92,37,7,,1,,,60
"Sup. no Univ. Completa (026)",330,1,44,116,75,21,6,2,1,,64
"Sup. Univ. Incompleta (027)",120,2,13,38,16,5,2,,,,44
"Sup. Univ. Completa (028)",292,,25,81,78,27,8,5,,,68
