"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PIURA (000)",259,255,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",126,125,1
"Casa pensión (003)",21,21,
"Hospital, clinica (004)",19,19,
"Cárcel, centro de readaptación social (005)",3,3,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",7,7,
"Otro (008)",70,68,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",12,11,1
