"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LAMBAYEQUE (000)",189515,31860,38261,36040,29434,22934,30986
"Conviviente (001)",46180,611,8614,14385,10316,6228,6026
"Separado(a) (002)",6321,44,724,1472,1554,1198,1329
"Casado(a) (003)",56913,75,2972,11293,13678,12667,16228
"Viudo(a) (004)",6427,6,30,123,321,689,5258
"Divorciado(a) (005)",300,,10,30,54,83,123
"Soltero(a) (006)",73374,31124,25911,8737,3511,2069,2022
"Hombres (008)",93298,16268,19270,17014,13840,11158,15748
"Conviviente (009)",22077,154,3101,6829,5111,3361,3521
"Separado(a) (010)",1278,9,77,229,306,253,404
"Casado(a) (011)",28033,30,913,5031,6524,6373,9162
"Viudo(a) (012)",1919,3,9,23,79,171,1634
"Divorciado(a) (013)",121,,4,9,19,32,57
"Soltero(a) (014)",39870,16072,15166,4893,1801,968,970
"Mujeres (016)",96217,15592,18991,19026,15594,11776,15238
"Conviviente (017)",24103,457,5513,7556,5205,2867,2505
"Separado(a) (018)",5043,35,647,1243,1248,945,925
"Casado(a) (019)",28880,45,2059,6262,7154,6294,7066
"Viudo(a) (020)",4508,3,21,100,242,518,3624
"Divorciado(a) (021)",179,,6,21,35,51,66
"Soltero(a) (022)",33504,15052,10745,3844,1710,1101,1052
,,,,,,,
"URBANA (024)",94975,14447,19049,18326,15339,12228,15586
"Conviviente (025)",21390,253,3893,7229,4866,2856,2293
"Separado(a) (026)",3751,22,373,803,952,788,813
"Casado(a) (027)",28822,33,1111,5063,7312,6891,8412
"Viudo(a) (028)",3228,3,10,56,151,329,2679
"Divorciado(a) (029)",239,,8,25,47,67,92
"Soltero(a) (030)",37545,14136,13654,5150,2011,1297,1297
"Hombres (032)",45228,7235,9342,8409,6846,5801,7595
"Conviviente (033)",10002,85,1387,3333,2336,1541,1320
"Separado(a) (034)",768,3,51,139,180,163,232
"Casado(a) (035)",13993,13,331,2144,3352,3446,4707
"Viudo(a) (036)",879,2,5,9,36,67,760
"Divorciado(a) (037)",92,,4,6,19,25,38
"Soltero(a) (038)",19494,7132,7564,2778,923,559,538
"Mujeres (040)",49747,7212,9707,9917,8493,6427,7991
"Conviviente (041)",11388,168,2506,3896,2530,1315,973
"Separado(a) (042)",2983,19,322,664,772,625,581
"Casado(a) (043)",14829,20,780,2919,3960,3445,3705
"Viudo(a) (044)",2349,1,5,47,115,262,1919
"Divorciado(a) (045)",147,,4,19,28,42,54
"Soltero(a) (046)",18051,7004,6090,2372,1088,738,759
,,,,,,,
"RURAL (048)",94540,17413,19212,17714,14095,10706,15400
"Conviviente (049)",24790,358,4721,7156,5450,3372,3733
"Separado(a) (050)",2570,22,351,669,602,410,516
"Casado(a) (051)",28091,42,1861,6230,6366,5776,7816
"Viudo(a) (052)",3199,3,20,67,170,360,2579
"Divorciado(a) (053)",61,,2,5,7,16,31
"Soltero(a) (054)",35829,16988,12257,3587,1500,772,725
"Hombres (056)",48070,9033,9928,8605,6994,5357,8153
"Conviviente (057)",12075,69,1714,3496,2775,1820,2201
"Separado(a) (058)",510,6,26,90,126,90,172
"Casado(a) (059)",14040,17,582,2887,3172,2927,4455
"Viudo(a) (060)",1040,1,4,14,43,104,874
"Divorciado(a) (061)",29,,,3,,7,19
"Soltero(a) (062)",20376,8940,7602,2115,878,409,432
"Mujeres (064)",46470,8380,9284,9109,7101,5349,7247
"Conviviente (065)",12715,289,3007,3660,2675,1552,1532
"Separado(a) (066)",2060,16,325,579,476,320,344
"Casado(a) (067)",14051,25,1279,3343,3194,2849,3361
"Viudo(a) (068)",2159,2,16,53,127,256,1705
"Divorciado(a) (069)",32,,2,2,7,9,12
"Soltero(a) (070)",15453,8048,4655,1472,622,363,293
