"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ASCOPE (000)",110097,15691,34543,6725,53500
"Quechua (001)",70,12,27,6,30
"Aymara (002)",16,4,8,3,3
"Asháninka (003)",16,2,7,8,3
"Otra lengua nativa (004)",87,16,12,22,39
"Castellano (005)",109757,15629,34445,6680,53352
"Idioma Extranjero (006)",9,,4,,5
"Es Sordomudo/a (007)",142,28,40,6,68
"Hombres (009)",55180,6926,17600,3897,26982
"Quechua (010)",33,4,12,5,14
"Aymara (011)",7,3,3,2,1
"Asháninka (012)",13,2,5,7,2
"Otra lengua nativa (013)",50,9,7,18,18
"Castellano (014)",54989,6893,17550,3861,26901
"Idioma Extranjero (015)",7,,4,,3
"Es Sordomudo/a (016)",81,15,19,4,43
"Mujeres (018)",54917,8765,16943,2828,26518
"Quechua (019)",37,8,15,1,16
"Aymara (020)",9,1,5,1,2
"Asháninka (021)",3,,2,1,1
"Otra lengua nativa (022)",37,7,5,4,21
"Castellano (023)",54768,8736,16895,2819,26451
"Idioma Extranjero (024)",2,,,,2
"Es Sordomudo/a (025)",61,13,21,2,25
,,,,,
"URBANA (027)",96859,13700,32104,6182,45206
"Quechua (028)",65,11,27,6,26
"Aymara (029)",15,4,7,2,3
"Asháninka (030)",16,2,7,8,3
"Otra lengua nativa (031)",84,14,11,21,39
"Castellano (032)",96548,13642,32012,6142,45074
"Idioma Extranjero (033)",9,,4,,5
"Es Sordomudo/a (034)",122,27,36,3,56
"Hombres (036)",48264,6040,16308,3583,22542
"Quechua (037)",31,4,12,5,12
"Aymara (038)",6,3,2,1,1
"Asháninka (039)",13,2,5,7,2
"Otra lengua nativa (040)",48,8,6,17,18
"Castellano (041)",48092,6009,16263,3551,22471
"Idioma Extranjero (042)",7,,4,,3
"Es Sordomudo/a (043)",67,14,16,2,35
"Mujeres (045)",48595,7660,15796,2599,22664
"Quechua (046)",34,7,15,1,14
"Aymara (047)",9,1,5,1,2
"Asháninka (048)",3,,2,1,1
"Otra lengua nativa (049)",36,6,5,4,21
"Castellano (050)",48456,7633,15749,2591,22603
"Idioma Extranjero (051)",2,,,,2
"Es Sordomudo/a (052)",55,13,20,1,21
,,,,,
"RURAL (054)",13238,1991,2439,543,8294
"Quechua (055)",5,1,,,4
"Aymara (056)",1,,1,1,
"Otra lengua nativa (058)",3,2,1,1,
"Castellano (059)",13209,1987,2433,538,8278
"Es Sordomudo/a (061)",20,1,4,3,12
"Hombres (063)",6916,886,1292,314,4440
"Quechua (064)",2,,,,2
"Aymara (065)",1,,1,1,
"Otra lengua nativa (067)",2,1,1,1,
"Castellano (068)",6897,884,1287,310,4430
"Es Sordomudo/a (070)",14,1,3,2,8
"Mujeres (072)",6322,1105,1147,229,3854
"Quechua (073)",3,1,,,2
"Otra lengua nativa (076)",1,1,,,
"Castellano (077)",6312,1103,1146,228,3848
"Es Sordomudo/a (079)",6,,1,1,4
