"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia OYON (000)",18007,2041,5138,898,10147
"Hombres (001)",9520,928,3107,633,5048
"Mujeres (002)",8487,1113,2031,265,5099
"PEA (003)",7803,370,2681,591,4358
"Hombres (004)",5811,225,2236,516,3023
"Mujeres (005)",1992,145,445,75,1335
"Ocupada (006)",7550,351,2658,582,4156
"Hombres (007)",5609,214,2217,509,2858
"Mujeres (008)",1941,137,441,73,1298
"Desocupada (009)",253,19,23,9,202
"Hombres (010)",202,11,19,7,165
"Mujeres (011)",51,8,4,2,37
"No PEA (012)",10204,1671,2457,307,5789
"Hombres (013)",3709,703,871,117,2025
"Mujeres (014)",6495,968,1586,190,3764
,,,,,
"URBANA (018)",11443,1103,3451,455,6468
"Hombres (019)",5522,478,1731,269,3065
"Mujeres (020)",5921,625,1720,186,3403
"PEA (021)",4342,198,1303,236,2620
"Hombres (022)",3019,114,980,185,1754
"Mujeres (023)",1323,84,323,51,866
"Ocupada (024)",4175,192,1282,232,2484
"Hombres (025)",2889,112,963,182,1646
"Mujeres (026)",1286,80,319,50,838
"Desocupada (027)",167,6,21,4,136
"Hombres (028)",130,2,17,3,108
"Mujeres (029)",37,4,4,1,28
"No PEA (030)",7101,905,2148,219,3848
"Hombres (031)",2503,364,751,84,1311
"Mujeres (032)",4598,541,1397,135,2537
,,,,,
"RURAL (036)",6564,938,1687,443,3679
"Hombres (037)",3998,450,1376,364,1983
"Mujeres (038)",2566,488,311,79,1696
"PEA (039)",3461,172,1378,355,1738
"Hombres (040)",2792,111,1256,331,1269
"Mujeres (041)",669,61,122,24,469
"Ocupada (042)",3375,159,1376,350,1672
"Hombres (043)",2720,102,1254,327,1212
"Mujeres (044)",655,57,122,23,460
"Desocupada (045)",86,13,2,5,66
"Hombres (046)",72,9,2,4,57
"Mujeres (047)",14,4,,1,9
"No PEA (048)",3103,766,309,88,1941
"Hombres (049)",1206,339,120,33,714
"Mujeres (050)",1897,427,189,55,1227
