"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PICOTA (000)",35061,7407,2709,1163,23847
"Quechua (001)",75,5,4,1,66
"Aymara (002)",4,2,,,2
"Asháninka (003)",7,4,2,2,1
"Otra lengua nativa (004)",20,4,,1,15
"Castellano (005)",34902,7384,2698,1159,23723
"Idioma Extranjero (006)",2,,1,,1
"Es Sordomudo/a (007)",51,8,4,,39
"Hombres (009)",18658,3637,1386,663,13012
"Quechua (010)",42,3,2,1,37
"Aymara (011)",2,,,,2
"Asháninka (012)",3,3,,1,
"Otra lengua nativa (013)",9,2,,,7
"Castellano (014)",18576,3624,1381,661,12948
"Es Sordomudo/a (016)",26,5,3,,18
"Mujeres (018)",16403,3770,1323,500,10835
"Quechua (019)",33,2,2,,29
"Aymara (020)",2,2,,,
"Asháninka (021)",4,1,2,1,1
"Otra lengua nativa (022)",11,2,,1,8
"Castellano (023)",16326,3760,1317,498,10775
"Idioma Extranjero (024)",2,,1,,1
"Es Sordomudo/a (025)",25,3,1,,21
,,,,,
"URBANA (027)",22032,4592,2442,992,14063
"Quechua (028)",43,2,3,,38
"Aymara (029)",3,2,,,1
"Asháninka (030)",4,2,2,1,
"Otra lengua nativa (031)",14,4,,1,9
"Castellano (032)",21943,4578,2432,990,13999
"Idioma Extranjero (033)",2,,1,,1
"Es Sordomudo/a (034)",23,4,4,,15
"Hombres (036)",11515,2231,1255,564,7497
"Quechua (037)",23,1,2,,20
"Aymara (038)",1,,,,1
"Asháninka (039)",1,1,,,
"Otra lengua nativa (040)",6,2,,,4
"Castellano (041)",11471,2224,1250,564,7465
"Es Sordomudo/a (043)",13,3,3,,7
"Mujeres (045)",10517,2361,1187,428,6566
"Quechua (046)",20,1,1,,18
"Aymara (047)",2,2,,,
"Asháninka (048)",3,1,2,1,
"Otra lengua nativa (049)",8,2,,1,5
"Castellano (050)",10472,2354,1182,426,6534
"Idioma Extranjero (051)",2,,1,,1
"Es Sordomudo/a (052)",10,1,1,,8
,,,,,
"RURAL (054)",13029,2815,267,171,9784
"Quechua (055)",32,3,1,1,28
"Aymara (056)",1,,,,1
"Asháninka (057)",3,2,,1,1
"Otra lengua nativa (058)",6,,,,6
"Castellano (059)",12959,2806,266,169,9724
"Es Sordomudo/a (061)",28,4,,,24
"Hombres (063)",7143,1406,131,99,5515
"Quechua (064)",19,2,,1,17
"Aymara (065)",1,,,,1
"Asháninka (066)",2,2,,1,
"Otra lengua nativa (067)",3,,,,3
"Castellano (068)",7105,1400,131,97,5483
"Es Sordomudo/a (070)",13,2,,,11
"Mujeres (072)",5886,1409,136,72,4269
"Quechua (073)",13,1,1,,11
"Asháninka (075)",1,,,,1
"Otra lengua nativa (076)",3,,,,3
"Castellano (077)",5854,1406,135,72,4241
"Es Sordomudo/a (079)",15,2,,,13
