"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUALGAYOC (000)",42533,38999,1134,719,1681
"Empleado (001)",2560,868,480,450,762
"Obrero (002)",4796,3375,268,254,899
"Trabajador independiente (003)",25394,25124,270,,
"Empleador o patrono (004)",132,99,15,7,11
"Trabajador familiar no remunerado (005)",9239,9121,101,8,9
"Trabajador del hogar (006)",412,412,,,
"De 06 a 14 años (008)",890,874,12,3,1
"Empleado (009)",26,21,3,1,1
"Obrero (010)",39,35,2,2,
"Trabajador independiente (011)",283,283,,,
"Trabajador familiar no remunerado (013)",521,514,7,,
"Trabajador del hogar (014)",21,21,,,
"De 15 a 29 años (016)",15731,14534,387,216,594
"Empleado (017)",783,330,114,97,242
"Obrero (018)",2011,1431,127,111,342
"Trabajador independiente (019)",8444,8360,84,,
"Empleador o patrono (020)",36,27,2,1,6
"Trabajador familiar no remunerado (021)",4241,4170,60,7,4
"Trabajador del hogar (022)",216,216,,,
"De 30 a 44 años (024)",13140,11537,503,334,766
"Empleado (025)",1267,390,290,237,350
"Obrero (026)",1620,1030,88,93,409
"Trabajador independiente (027)",7891,7795,96,,
"Empleador o patrono (028)",45,31,7,3,4
"Trabajador familiar no remunerado (029)",2228,2202,22,1,3
"Trabajador del hogar (030)",89,89,,,
"De 45 a 64 años (032)",9194,8526,206,158,304
"Empleado (033)",457,115,71,112,159
"Obrero (034)",934,703,45,43,143
"Trabajador independiente (035)",6026,5952,74,,
"Empleador o patrono (036)",39,30,5,3,1
"Trabajador familiar no remunerado (037)",1668,1656,11,,1
"Trabajador del hogar (038)",70,70,,,
"De 65 y más años (040)",3578,3528,26,8,16
"Empleado (041)",27,12,2,3,10
"Obrero (042)",192,176,6,5,5
"Trabajador independiente (043)",2750,2734,16,,
"Empleador o patrono (044)",12,11,1,,
"Trabajador familiar no remunerado (045)",581,579,1,,1
"Trabajador del hogar (046)",16,16,,,
,,,,,
"URBANA (048)",7776,5209,633,505,1429
"Empleado (049)",2161,706,389,397,669
"Obrero (050)",1560,621,95,100,744
"Trabajador independiente (051)",3165,3054,111,,
"Empleador o patrono (052)",79,56,10,5,8
"Trabajador familiar no remunerado (053)",561,522,28,3,8
"Trabajador del hogar (054)",250,250,,,
