"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SIHUAS (000)",7658,33,173,420,726,1509,2963,1834
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",210,,,,,,132,78
"De 20 a 24 años (003)",801,,,,,2,510,289
"De 25 a 29 años (004)",720,,,,,30,513,177
"De 30 a 34 años (005)",877,,,,,106,598,173
"De 35 a 39 años (006)",891,,,,4,209,551,127
"De 40 a 44 años (007)",839,,,,17,306,409,107
"De 45 a 49 años (008)",711,,,3,57,350,200,101
"De 50 y más años (009)",2598,33,173,417,648,506,50,771
"Sin nivel (010)",3562,27,143,347,507,695,963,880
"De 15 a 19 años (012)",17,,,,,,14,3
"De 20 a 24 años (013)",110,,,,,1,73,36
"De 25 a 29 años (014)",142,,,,,4,110,28
"De 30 a 34 años (015)",283,,,,,29,198,56
"De 35 a 39 años (016)",340,,,,2,71,219,48
"De 40 a 44 años (017)",352,,,,5,108,198,41
"De 45 a 49 años (018)",379,,,2,23,176,122,56
"De 50 y más años (019)",1939,27,143,345,477,306,29,612
"Educacion Inicial (020)",19,,,,,,13,6
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",1,,,,,,,1
"De 20 a 24 años (023)",4,,,,,,4,
"De 25 a 29 años (024)",4,,,,,,2,2
"De 30 a 34 años (025)",8,,,,,,6,2
"De 35 a 39 años (026)",1,,,,,,1,
"Primaria (030)",2280,6,28,53,157,530,1076,430
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",87,,,,,,54,33
"De 20 a 24 años (033)",263,,,,,,178,85
"De 25 a 29 años (034)",259,,,,,12,202,45
"De 30 a 34 años (035)",296,,,,,37,214,45
"De 35 a 39 años (036)",333,,,,1,81,210,41
"De 40 a 44 años (037)",307,,,,6,121,146,34
"De 45 a 49 años (038)",213,,,,18,116,58,21
"De 50 y más años (039)",514,6,28,53,132,163,14,118
"Secundaria (040)",952,,1,12,29,121,534,255
"De 12 a 14 años (041)",2,,,,,,,2
"De 15 a 19 años (042)",91,,,,,,54,37
"De 20 a 24 años (043)",284,,,,,,188,96
"De 25 a 29 años (044)",166,,,,,4,111,51
"De 30 a 34 años (045)",131,,,,,22,90,19
"De 35 a 39 años (046)",97,,,,1,27,55,14
"De 40 a 44 años (047)",74,,,,3,36,23,12
"De 45 a 49 años (048)",48,,,1,8,21,9,9
"De 50 y más años (049)",59,,1,11,17,11,4,15
"Sup. no Univ. incompleta (050)",139,,,1,2,17,73,46
"De 15 a 19 años (052)",4,,,,,,2,2
"De 20 a 24 años (053)",45,,,,,,20,25
