"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARAZ (000)",136764,18318,3778,41497,36266,6359,10586,8224,11736
"Jefe o Jefa (001)",37124,4387,15,10286,9627,1812,4066,1871,5060
"Esposa(o)/ compa¤era(o) (002)",23181,4597,34,6829,5244,880,2498,801,2298
"Hijo(a)/ hijastro(a) (003)",55522,5947,2890,18545,15942,2439,2661,4128,2970
"Yerno/ nuera (004)",2332,58,2,314,831,211,349,209,358
"Nieto(a) (005)",6135,1371,623,2458,1203,125,64,216,75
"Padres/ suegros (006)",1982,1009,,665,167,17,55,8,61
"Otro(a) pariente (007)",7934,785,192,1933,2463,645,641,703,572
"Trabajador(a) del hogar (008)",319,23,6,117,133,17,9,9,5
"Pensionista (009)",166,1,,13,49,26,16,25,36
"Otro(a) no pariente (010)",2069,140,16,337,607,187,227,254,301
"Hombres (012)",66264,5862,1928,19804,19669,3260,4840,4528,6373
"Jefe o Jefa (013)",26082,1741,10,7477,7426,1271,2797,1385,3975
"Esposa(o)/ compa¤era(o) (014)",1826,87,2,441,627,114,204,131,220
"Hijo(a)/ hijastro(a) (015)",28304,2865,1491,9161,8747,1224,1174,2256,1386
"Yerno/ nuera (016)",1217,18,1,118,435,109,191,118,227
"Nieto(a) (017)",3146,680,309,1261,656,72,25,116,27
"Padres/ suegros (018)",542,145,,271,61,8,22,4,31
"Otro(a) pariente (019)",4001,275,105,928,1322,354,323,374,320
"Trabajador(a) del hogar (020)",23,1,,6,13,1,,1,1
"Pensionista (021)",95,,,7,32,14,8,16,18
"Otro(a) no pariente (022)",1028,50,10,134,350,93,96,127,168
"Mujeres (024)",70500,12456,1850,21693,16597,3099,5746,3696,5363
"Jefe o Jefa (025)",11042,2646,5,2809,2201,541,1269,486,1085
"Esposa(o)/ compa¤era(o) (026)",21355,4510,32,6388,4617,766,2294,670,2078
"Hijo(a)/ hijastro(a) (027)",27218,3082,1399,9384,7195,1215,1487,1872,1584
"Yerno/ nuera (028)",1115,40,1,196,396,102,158,91,131
"Nieto(a) (029)",2989,691,314,1197,547,53,39,100,48
"Padres/ suegros (030)",1440,864,,394,106,9,33,4,30
"Otro(a) pariente (031)",3933,510,87,1005,1141,291,318,329,252
"Trabajador(a) del hogar (032)",296,22,6,111,120,16,9,8,4
"Pensionista (033)",71,1,,6,17,12,8,9,18
"Otro(a) no pariente (034)",1041,90,6,203,257,94,131,127,133
,,,,,,,,,
"URBANA (036)",101057,9604,2862,25209,27926,5861,10142,7964,11489
"Jefe o Jefa (037)",27441,1794,13,5696,7501,1726,3933,1823,4955
"Esposa(o)/ compa¤era(o) (038)",16443,1792,29,3918,4376,845,2435,782,2266
"Hijo(a)/ hijastro(a) (039)",40187,3721,2154,11345,11483,2128,2474,3984,2898
"Yerno/ nuera (040)",1787,25,1,133,567,188,329,198,346
"Nieto(a) (041)",4444,955,488,1654,905,114,57,199,72
"Padres/ suegros (042)",1548,679,,569,160,17,54,8,61
