"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia YAROWILCA",,,,,,,,,
"Viviendas particulares (001)",8160,772,386,548,8,383,5869,179,15
"Ocupantes presentes (002)",32339,3219,1646,2181,26,1342,23304,565,56
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",8045,771,385,543,8,373,5777,174,14
"Ocupantes presentes (005)",32023,3212,1645,2167,26,1318,23044,557,54
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3,1,,1,,,,1,
"Ocupantes presentes (014)",11,7,,2,,,,2,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",110,,,4,,10,92,3,1
"Ocupantes presentes (017)",301,,,12,,24,260,3,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,1,,,,,1,
"Ocupantes presentes (023)",4,,1,,,,,3,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1995,390,292,101,3,84,977,136,12
"Ocupantes presentes (029)",7883,1612,1294,361,8,349,3784,433,42
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1990,389,291,100,3,84,977,134,12
"Ocupantes presentes (032)",7868,1605,1293,359,8,349,3784,428,42
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3,1,,1,,,,1,
"Ocupantes presentes (041)",11,7,,2,,,,2,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",2,,1,,,,,1,
"Ocupantes presentes (050)",4,,1,,,,,3,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",6165,382,94,447,5,299,4892,43,3
"Ocupantes presentes (056)",24456,1607,352,1820,18,993,19520,132,14
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",6055,382,94,443,5,289,4800,40,2
"Ocupantes presentes (059)",24155,1607,352,1808,18,969,19260,129,12
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",110,,,4,,10,92,3,1
"Ocupantes presentes (071)",301,,,12,,24,260,3,2
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
