"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUARAZ (000)",52505,36259,5041,5130,6075
"Sin nivel (001)",3138,2966,111,34,27
"Educación inicial (002)",50,45,4,1,
"Primaria (003)",10679,9666,523,292,198
"Secundaria (004)",15034,11996,1370,857,811
"Superior no univ. incompleta (005)",3231,2212,403,300,316
"Superior no univ. completa (006)",7340,3664,973,1350,1353
"Superior univ. incompleta (007)",3908,2288,511,493,616
"Superior univ. completa (008)",9125,3422,1146,1803,2754
"De 06 a 14 años (010)",527,495,24,6,2
"Sin nivel (011)",18,18,,,
"Educación inicial (012)",9,8,1,,
"Primaria (013)",299,283,13,3,
"Secundaria (014)",201,186,10,3,2
"De 15 a 29 años (020)",16737,11861,1992,1507,1377
"Sin nivel (021)",223,212,6,5,
"Educación inicial (022)",21,19,2,,
"Primaria (023)",1924,1751,88,57,28
"Secundaria (024)",6645,5312,727,366,240
"Superior no univ. incompleta (025)",1655,1183,230,144,98
"Superior no univ. completa (026)",2117,1228,329,297,263
"Superior univ. incompleta (027)",2059,1305,291,237,226
"Superior univ. completa (028)",2093,851,319,401,522
"De 30 a 44 años (030)",19351,12193,1919,2418,2821
"Sin nivel (031)",736,681,32,13,10
"Educación inicial (032)",20,18,1,1,
"Primaria (033)",3178,2848,171,103,56
"Secundaria (034)",4972,3993,386,280,313
"Superior no univ. incompleta (035)",1066,706,131,104,125
"Superior no univ. completa (036)",3626,1679,473,774,700
"Superior univ. incompleta (037)",1223,648,153,183,239
"Superior univ. completa (038)",4530,1620,572,960,1378
"De 45 a 64 años (040)",12829,8895,996,1135,1803
"Sin nivel (041)",1314,1234,55,15,10
"Primaria (043)",3798,3390,204,106,98
"Secundaria (044)",2872,2200,232,196,244
"Superior no univ. incompleta (045)",463,285,40,49,89
"Superior no univ. completa (046)",1478,660,161,272,385
"Superior univ. incompleta (047)",571,294,63,70,144
"Superior univ. completa (048)",2333,832,241,427,833
"De 65 y más años (050)",3061,2815,110,64,72
"Sin nivel (051)",847,821,18,1,7
"Primaria (053)",1480,1394,47,23,16
"Secundaria (054)",344,305,15,12,12
"Superior no univ. incompleta (055)",47,38,2,3,4
"Superior no univ. completa (056)",119,97,10,7,5
