"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia HUANCAVELICA",,,,,,
"Viviendas particulares (001)",33548,33044,429,60,12,3
"Ocupantes presentes (002)",141005,136480,3546,724,198,57
"Casa independiente",,,,,,
"Viviendas particulares (004)",29398,28973,366,45,11,3
"Ocupantes presentes (005)",126663,122847,3030,552,177,57
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",116,114,2,,,
"Ocupantes presentes (008)",330,316,14,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",505,487,12,6,,
"Ocupantes presentes (011)",1652,1485,93,74,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",1842,1784,48,9,1,
"Ocupantes presentes (014)",6410,5892,399,98,21,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1614,1613,1,,,
"Ocupantes presentes (017)",5706,5696,10,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",17,17,,,,
"Ocupantes presentes (020)",57,57,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",53,53,,,,
"Ocupantes presentes (023)",174,174,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",3,3,,,,
"Ocupantes presentes (026)",13,13,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",14318,13859,391,53,12,3
"Ocupantes presentes (029)",58144,54048,3215,626,198,57
"Casa independiente",,,,,,
"Viviendas particulares (031)",11790,11409,329,38,11,3
"Ocupantes presentes (032)",49531,46134,2709,454,177,57
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",116,114,2,,,
"Ocupantes presentes (035)",330,316,14,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",505,487,12,6,,
"Ocupantes presentes (038)",1652,1485,93,74,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",1842,1784,48,9,1,
"Ocupantes presentes (041)",6410,5892,399,98,21,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",17,17,,,,
"Ocupantes presentes (047)",57,57,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",46,46,,,,
"Ocupantes presentes (050)",152,152,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",2,2,,,,
"Ocupantes presentes (053)",12,12,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",19230,19185,38,7,,
"Ocupantes presentes (056)",82861,82432,331,98,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",17608,17564,37,7,,
"Ocupantes presentes (059)",77132,76713,321,98,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1614,1613,1,,,
"Ocupantes presentes (071)",5706,5696,10,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",7,7,,,,
"Ocupantes presentes (077)",22,22,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",1,1,,,,
