"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,
"Viviendas particulares (001)",681,347,53,281
"Ocupantes presentes (002)",3493,1762,243,1488
"Casa independiente",,,,
"Viviendas particulares (004)",453,256,30,167
"Ocupantes presentes (005)",2490,1450,177,863
"Departamento en edificio",,,,
"Viviendas particulares (007)",2,2,,
"Ocupantes presentes (008)",7,7,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",109,87,22,
"Ocupantes presentes (011)",359,294,65,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (016)",114,,,114
"Ocupantes presentes (017)",625,,,625
"Vivienda improvisada",,,,
"Viviendas particulares (019)",2,2,,
"Ocupantes presentes (020)",11,11,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",1,,1,
"Ocupantes presentes (023)",1,,1,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",596,327,52,217
"Ocupantes presentes (029)",3039,1647,239,1153
"Casa independiente",,,,
"Viviendas particulares (031)",405,236,29,140
"Ocupantes presentes (032)",2249,1335,173,741
"Departamento en edificio",,,,
"Viviendas particulares (034)",2,2,,
"Ocupantes presentes (035)",7,7,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",109,87,22,
"Ocupantes presentes (038)",359,294,65,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (043)",77,,,77
"Ocupantes presentes (044)",412,,,412
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2,2,,
"Ocupantes presentes (047)",11,11,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",1,,1,
"Ocupantes presentes (050)",1,,1,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",85,20,1,64
"Ocupantes presentes (056)",454,115,4,335
"Casa independiente",,,,
"Viviendas particulares (058)",48,20,1,27
"Ocupantes presentes (059)",241,115,4,122
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (070)",37,,,37
"Ocupantes presentes (071)",213,,,213
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",447,343,52,52
"Ocupantes presentes (110)",2265,1740,238,287
"Casa independiente",,,,
"Viviendas particulares (112)",333,252,29,52
"Ocupantes presentes (113)",1887,1428,172,287
"Departamento en edificio",,,,
"Viviendas particulares (115)",2,2,,
"Ocupantes presentes (116)",7,7,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",109,87,22,
"Ocupantes presentes (119)",359,294,65,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",2,2,,
"Ocupantes presentes (128)",11,11,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,,1,
"Ocupantes presentes (131)",1,,1,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",413,327,51,35
"Ocupantes presentes (137)",2081,1647,234,200
"Casa independiente",,,,
"Viviendas particulares (139)",299,236,28,35
"Ocupantes presentes (140)",1703,1335,168,200
"Departamento en edificio",,,,
"Viviendas particulares (142)",2,2,,
"Ocupantes presentes (143)",7,7,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",109,87,22,
"Ocupantes presentes (146)",359,294,65,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2,2,,
"Ocupantes presentes (155)",11,11,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,,1,
"Ocupantes presentes (158)",1,,1,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",34,16,1,17
"Ocupantes presentes (164)",184,93,4,87
"Casa independiente",,,,
"Viviendas particulares (166)",34,16,1,17
"Ocupantes presentes (167)",184,93,4,87
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",234,4,1,229
"Ocupantes presentes (218)",1228,22,5,1201
"Casa independiente",,,,
"Viviendas particulares (220)",120,4,1,115
"Ocupantes presentes (221)",603,22,5,576
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",114,,,114
"Ocupantes presentes (233)",625,,,625
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",183,,1,182
"Ocupantes presentes (245)",958,,5,953
"Casa independiente",,,,
"Viviendas particulares (247)",106,,1,105
"Ocupantes presentes (248)",546,,5,541
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",77,,,77
"Ocupantes presentes (260)",412,,,412
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",51,4,,47
"Ocupantes presentes (272)",270,22,,248
"Casa independiente",,,,
"Viviendas particulares (274)",14,4,,10
"Ocupantes presentes (275)",57,22,,35
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",37,,,37
"Ocupantes presentes (287)",213,,,213
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
