"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHINCHEROS (000)",13194,5764,7430
"Red pública dentro de la vivienda (001)",4270,2437,1833
"Red pública fuera de la vivienda (002)",2195,1502,693
"Pilón de uso público (003)",95,32,63
"Camión - cisterna u otro similar (004)",4,2,2
"Pozo (005)",345,67,278
"Río, acequia, manatial o similar (006)",5214,1335,3879
"Vecino (007)",768,244,524
"Otro (008)",303,145,158
,,,
"URBANA (010)",4158,2603,1555
"Red pública dentro de la vivienda (011)",1526,1176,350
"Red pública fuera de la vivienda (012)",1064,795,269
"Pilón de uso público (013)",25,14,11
"Camión - cisterna u otro similar (014)",2,2,
"Pozo (015)",30,10,20
"Río, acequia, manatial o similar (016)",1061,408,653
"Vecino (017)",233,78,155
"Otro (018)",217,120,97
,,,
"RURAL (020)",9036,3161,5875
"Red pública dentro de la vivienda (021)",2744,1261,1483
"Red pública fuera de la vivienda (022)",1131,707,424
"Pilón de uso público (023)",70,18,52
"Camión - cisterna u otro similar (024)",2,,2
"Pozo (025)",315,57,258
"Río, acequia, manatial o similar (026)",4153,927,3226
"Vecino (027)",535,166,369
"Otro (028)",86,25,61
