"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",12313,10312,1060,445,496
"Hombres (001)",9096,7636,791,318,351
"Mujeres (002)",3217,2676,269,127,145
"De 06 a 14 años (003)",179,176,3,,
"Hombres (004)",103,102,1,,
"Mujeres (005)",76,74,2,,
"De 15 a 29 años (006)",3575,2987,300,90,198
"Hombres (007)",2489,2094,218,58,119
"Mujeres (008)",1086,893,82,32,79
"De 30 a 44 años (009)",4262,3354,481,240,187
"Hombres (010)",3175,2521,347,172,135
"Mujeres (011)",1087,833,134,68,52
"De 45 a 64 años (012)",3173,2725,233,111,104
"Hombres (013)",2427,2062,190,84,91
"Mujeres (014)",746,663,43,27,13
"De 65 y más años (015)",1124,1070,43,4,7
"Hombres (016)",902,857,35,4,6
"Mujeres (017)",222,213,8,,1
,,,,,
"URBANA (018)",7842,6201,827,409,405
"Hombres (019)",5591,4411,613,287,280
"Mujeres (020)",2251,1790,214,122,125
"De 06 a 14 años (021)",110,107,3,,
"Hombres (022)",67,66,1,,
"Mujeres (023)",43,41,2,,
"De 15 a 29 años (024)",2266,1789,237,78,162
"Hombres (025)",1533,1215,173,49,96
"Mujeres (026)",733,574,64,29,66
"De 30 a 44 años (027)",2740,1990,370,223,157
"Hombres (028)",1953,1423,264,156,110
"Mujeres (029)",787,567,106,67,47
"De 45 a 64 años (030)",2017,1649,185,104,79
"Hombres (031)",1483,1188,149,78,68
"Mujeres (032)",534,461,36,26,11
"De 65 y más años (033)",709,666,32,4,7
"Hombres (034)",555,519,26,4,6
"Mujeres (035)",154,147,6,,1
,,,,,
"RURAL (036)",4471,4111,233,36,91
"Hombres (037)",3505,3225,178,31,71
"Mujeres (038)",966,886,55,5,20
"De 06 a 14 años (039)",69,69,,,
"Hombres (040)",36,36,,,
"Mujeres (041)",33,33,,,
"De 15 a 29 años (042)",1309,1198,63,12,36
"Hombres (043)",956,879,45,9,23
"Mujeres (044)",353,319,18,3,13
"De 30 a 44 años (045)",1522,1364,111,17,30
"Hombres (046)",1222,1098,83,16,25
"Mujeres (047)",300,266,28,1,5
"De 45 a 64 años (048)",1156,1076,48,7,25
"Hombres (049)",944,874,41,6,23
"Mujeres (050)",212,202,7,1,2
"De 65 y más años (051)",415,404,11,,
"Hombres (052)",347,338,9,,
"Mujeres (053)",68,66,2,,
