"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PATAZ (000)",72021,15607,9418,1297,45818
"Quechua (001)",631,219,258,22,134
"Aymara (002)",25,,19,2,5
"Asháninka (003)",5,4,,2,1
"Otra lengua nativa (004)",55,12,7,3,33
"Castellano (005)",71042,15347,9130,1267,45412
"Es Sordomudo/a (007)",263,25,4,1,233
"Hombres (009)",38322,7691,6605,888,23239
"Quechua (010)",444,103,250,18,74
"Aymara (011)",23,,18,2,4
"Asháninka (012)",1,,,,1
"Otra lengua nativa (013)",32,8,4,2,18
"Castellano (014)",37693,7565,6330,866,23031
"Es Sordomudo/a (016)",129,15,3,,111
"Mujeres (018)",33699,7916,2813,409,22579
"Quechua (019)",187,116,8,4,60
"Aymara (020)",2,,1,,1
"Asháninka (021)",4,4,,2,
"Otra lengua nativa (022)",23,4,3,1,15
"Castellano (023)",33349,7782,2800,401,22381
"Es Sordomudo/a (025)",134,10,1,1,122
,,,,,
"URBANA (027)",19080,1941,4808,780,11611
"Quechua (028)",81,6,47,6,23
"Aymara (029)",6,,4,1,1
"Otra lengua nativa (031)",49,12,6,2,29
"Castellano (032)",18911,1919,4750,770,11531
"Es Sordomudo/a (034)",33,4,1,1,27
"Hombres (036)",10112,984,3049,487,5647
"Quechua (037)",58,5,40,4,9
"Aymara (038)",5,,3,1,1
"Otra lengua nativa (040)",28,8,3,1,16
"Castellano (041)",10009,969,3003,481,5611
"Es Sordomudo/a (043)",12,2,,,10
"Mujeres (045)",8968,957,1759,293,5964
"Quechua (046)",23,1,7,2,14
"Aymara (047)",1,,1,,
"Otra lengua nativa (049)",21,4,3,1,13
"Castellano (050)",8902,950,1747,289,5920
"Es Sordomudo/a (052)",21,2,1,1,17
,,,,,
"RURAL (054)",52941,13666,4610,517,34207
"Quechua (055)",550,213,211,16,111
"Aymara (056)",19,,15,1,4
"Asháninka (057)",5,4,,2,1
"Otra lengua nativa (058)",6,,1,1,4
"Castellano (059)",52131,13428,4380,497,33881
"Es Sordomudo/a (061)",230,21,3,,206
"Hombres (063)",28210,6707,3556,401,17592
"Quechua (064)",386,98,210,14,65
"Aymara (065)",18,,15,1,3
"Asháninka (066)",1,,,,1
"Otra lengua nativa (067)",4,,1,1,2
"Castellano (068)",27684,6596,3327,385,17420
"Es Sordomudo/a (070)",117,13,3,,101
"Mujeres (072)",24731,6959,1054,116,16615
"Quechua (073)",164,115,1,2,46
"Aymara (074)",1,,,,1
"Asháninka (075)",4,4,,2,
"Otra lengua nativa (076)",2,,,,2
"Castellano (077)",24447,6832,1053,112,16461
"Es Sordomudo/a (079)",113,8,,,105
