"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANUCO (000)",236470,74249,33476,6577,122659
"Hombres (001)",115810,34572,15746,3570,62203
"Mujeres (002)",120660,39677,17730,3007,60456
"PEA (003)",95958,18566,15246,2969,59465
"Hombres (004)",64923,12803,8362,1979,41976
"Mujeres (005)",31035,5763,6884,990,17489
"Ocupada (006)",90485,17586,14811,2877,55489
"Hombres (007)",61447,12223,8108,1923,39383
"Mujeres (008)",29038,5363,6703,954,16106
"Desocupada (009)",5473,980,435,92,3976
"Hombres (010)",3476,580,254,56,2593
"Mujeres (011)",1997,400,181,36,1383
"No PEA (012)",140512,55683,18230,3608,63194
"Hombres (013)",50887,21769,7384,1591,20227
"Mujeres (014)",89625,33914,10846,2017,42967
,,,,,
"URBANA (018)",144884,27059,31548,5910,80749
"Hombres (019)",69295,11934,14762,3228,39593
"Mujeres (020)",75589,15125,16786,2682,41156
"PEA (021)",61784,7247,14516,2731,37538
"Hombres (022)",37280,3999,7811,1801,23832
"Mujeres (023)",24504,3248,6705,930,13706
"Ocupada (024)",58112,6799,14138,2648,34770
"Hombres (025)",35067,3744,7610,1751,22122
"Mujeres (026)",23045,3055,6528,897,12648
"Desocupada (027)",3672,448,378,83,2768
"Hombres (028)",2213,255,201,50,1710
"Mujeres (029)",1459,193,177,33,1058
"No PEA (030)",83100,19812,17032,3179,43211
"Hombres (031)",32015,7935,6951,1427,15761
"Mujeres (032)",51085,11877,10081,1752,27450
,,,,,
"RURAL (036)",91586,47190,1928,667,41910
"Hombres (037)",46515,22638,984,342,22610
"Mujeres (038)",45071,24552,944,325,19300
"PEA (039)",34174,11319,730,238,21927
"Hombres (040)",27643,8804,551,178,18144
"Mujeres (041)",6531,2515,179,60,3783
"Ocupada (042)",32373,10787,673,229,20719
"Hombres (043)",26380,8479,498,172,17261
"Mujeres (044)",5993,2308,175,57,3458
"Desocupada (045)",1801,532,57,9,1208
"Hombres (046)",1263,325,53,6,883
"Mujeres (047)",538,207,4,3,325
"No PEA (048)",57412,35871,1198,429,19983
"Hombres (049)",18872,13834,433,164,4466
"Mujeres (050)",38540,22037,765,265,15517
