"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANUCO (000)",69080,1004,26616,21553,7618,2821,1083,363,62,,7960
"Sin Nivel (001)",17428,397,7788,5278,1593,603,269,129,33,,1338
"Educación Inicial (002)",95,4,48,19,8,2,,,,,14
"Primaria (003)",20985,417,10218,6245,1479,501,237,119,13,,1756
"Secundaria (004)",15073,147,6317,5048,1279,402,181,37,7,,1655
"Sup. no Univ. Incompleta (005)",2062,10,468,821,245,64,22,5,1,,426
"Sup. no Univ. Completa (006)",3760,9,596,1293,864,272,81,13,,,632
"Sup. Univ. Incompleta (007)",2865,9,510,920,404,132,41,8,1,,840
"Sup. Univ. Completa (008)",6812,11,671,1929,1746,845,252,52,7,,1299
,,,,,,,,,,,
"URBANA (010)",43659,526,14700,13736,5627,2197,875,274,43,,5681
"Sin Nivel (011)",4868,148,2092,1307,436,204,123,59,17,,482
"Educación Inicial (012)",38,2,16,10,3,,,,,,7
"Primaria (013)",11221,212,5255,3368,905,351,190,105,12,,823
"Secundaria (014)",12563,127,5185,4271,1111,366,171,34,6,,1292
"Sup. no Univ. Incompleta (015)",1948,9,446,780,231,60,22,4,,,396
"Sup. no Univ. Completa (016)",3621,9,572,1251,837,257,80,13,,,602
"Sup. Univ. Incompleta (017)",2771,8,496,882,395,126,41,8,1,,814
"Sup. Univ. Completa (018)",6629,11,638,1867,1709,833,248,51,7,,1265
,,,,,,,,,,,
"RURAL (020)",25421,478,11916,7817,1991,624,208,89,19,,2279
"Sin Nivel (021)",12560,249,5696,3971,1157,399,146,70,16,,856
"Educación Inicial (022)",57,2,32,9,5,2,,,,,7
"Primaria (023)",9764,205,4963,2877,574,150,47,14,1,,933
"Secundaria (024)",2510,20,1132,777,168,36,10,3,1,,363
"Sup. no Univ. Incompleta (025)",114,1,22,41,14,4,,1,1,,30
"Sup. no Univ. Completa (026)",139,,24,42,27,15,1,,,,30
"Sup. Univ. Incompleta (027)",94,1,14,38,9,6,,,,,26
"Sup. Univ. Completa (028)",183,,33,62,37,12,4,1,,,34
