"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MAYNAS (000)",177995,170636,53542,25618,24090,19021,23258,12393,6972,5742,7359,437370
"De 12 a 14 años (001)",18022,17838,17686,139,13,,,,,,184,165
"De 15 a 19 años (002)",28542,27749,22257,4479,864,126,23,,,,793,6677
"De 20 a 24 años (003)",24357,21798,7524,7760,4511,1522,433,48,,,2559,23459
"De 25 a 29 años (004)",20213,18376,2594,5212,5180,3139,2017,204,30,,1837,35160
"De 30 a 34 años (005)",16940,16223,1151,2871,4153,3477,3450,914,171,36,717,44208
"De 35 a 39 años (006)",15021,14682,635,1607,3105,2992,3959,1664,568,152,339,51239
"De 40 a 44 años (007)",13435,13210,486,1091,2075,2636,3776,1964,824,358,225,53233
"De 45 a 49 años (008)",10946,10786,313,775,1505,1798,2897,1884,1003,611,160,49451
"De 50 y más años (009)",30519,29974,896,1684,2684,3331,6703,5715,4376,4585,545,173778
"PEA (010)",62473,59354,11853,10530,10278,8164,9472,4664,2472,1921,3119,169853
"De 12 a 14 años (011)",1000,986,954,29,3,,,,,,14,35
"De 15 a 19 años (012)",5409,5248,4083,956,177,27,5,,,,161,1411
"De 20 a 24 años (013)",8487,7411,3166,2500,1197,407,124,17,,,1076,6740
"De 25 a 29 años (014)",8496,7490,1582,2379,1822,963,660,72,12,,1006,12311
"De 30 a 34 años (015)",7891,7499,791,1658,1975,1361,1284,336,76,18,392,18254
"De 35 a 39 años (016)",7503,7330,439,1063,1725,1481,1691,645,221,65,173,23018
"De 40 a 44 años (017)",7197,7077,300,733,1288,1514,1865,858,368,151,120,26298
"De 45 a 49 años (018)",5799,5721,186,513,957,1038,1452,877,449,249,78,24158
"De 50 y más años (019)",10691,10592,352,699,1134,1373,2391,1859,1346,1438,99,57628
