"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN MIGUEL (000)",1215,366,849
"De 14 a 29 años (001)",607,278,329
"De 30 a 44 años (002)",342,72,270
"De 45 a 64 años (003)",182,16,166
"De 65 y más años (004)",84,,84
"Hombres (005)",994,261,733
"De 14 a 29 años (006)",461,198,263
"De 30 a 44 años (007)",289,50,239
"De 45 a 64 años (008)",168,13,155
"De 65 y más años (009)",76,,76
"Mujeres (010)",221,105,116
"De 14 a 29 años (011)",146,80,66
"De 30 a 44 años (012)",53,22,31
"De 45 a 64 años (013)",14,3,11
"De 65 y más años (014)",8,,8
,,,
"AREA URBANA (015)",188,58,130
"De 14 a 29 años (016)",92,37,55
"De 30 a 44 años (017)",62,15,47
"De 45 a 64 años (018)",25,6,19
"De 65 y más años (019)",9,,9
"Hombres (020)",146,43,103
"De 14 a 29 años (021)",72,31,41
"De 30 a 44 años (022)",45,8,37
"De 45 a 64 años (023)",22,4,18
"De 65 y más años (024)",7,,7
"Mujeres (025)",42,15,27
"De 14 a 29 años (026)",20,6,14
"De 30 a 44 años (027)",17,7,10
"De 45 a 64 años (028)",3,2,1
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",1027,308,719
"De 14 a 29 años (031)",515,241,274
"De 30 a 44 años (032)",280,57,223
"De 45 a 64 años (033)",157,10,147
"De 65 y más años (034)",75,,75
"Hombres (035)",848,218,630
"De 14 a 29 años (036)",389,167,222
"De 30 a 44 años (037)",244,42,202
"De 45 a 64 años (038)",146,9,137
"De 65 y más años (039)",69,,69
"Mujeres (040)",179,90,89
"De 14 a 29 años (041)",126,74,52
"De 30 a 44 años (042)",36,15,21
"De 45 a 64 años (043)",11,1,10
"De 65 y más años (044)",6,,6
