"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MELGAR (000)",54098,9557,10238,9896,8615,6029,9763
"Católica (001)",48063,8531,9157,8853,7659,5391,8472
"Cristiana/Evangélica (002)",4267,699,701,723,677,475,992
"Otra (003)",1191,182,234,201,192,130,252
"Ninguna (004)",577,145,146,119,87,33,47
"Hombres (006)",25996,4774,4988,4651,4122,2949,4512
"Católica (007)",23102,4255,4455,4156,3671,2639,3926
"Cristiana/Evangélica (008)",1982,348,324,336,310,220,444
"Otra (009)",570,95,121,83,86,69,116
"Ninguna (010)",342,76,88,76,55,21,26
"Mujeres (012)",28102,4783,5250,5245,4493,3080,5251
"Católica (013)",24961,4276,4702,4697,3988,2752,4546
"Cristiana/Evangélica (014)",2285,351,377,387,367,255,548
"Otra (015)",621,87,113,118,106,61,136
"Ninguna (016)",235,69,58,43,32,12,21
,,,,,,,
"URBANA (018)",26062,4921,5161,4988,4338,2734,3920
"Católica (019)",23344,4417,4645,4489,3905,2451,3437
"Cristiana/Evangélica (020)",1692,308,294,295,258,192,345
"Otra (021)",663,117,133,118,115,67,113
"Ninguna (022)",363,79,89,86,60,24,25
"Hombres (024)",12337,2460,2522,2277,2026,1333,1719
"Católica (025)",11007,2200,2264,2032,1814,1188,1509
"Cristiana/Evangélica (026)",781,148,133,143,120,94,143
"Otra (027)",319,68,67,47,49,36,52
"Ninguna (028)",230,44,58,55,43,15,15
"Mujeres (030)",13725,2461,2639,2711,2312,1401,2201
"Católica (031)",12337,2217,2381,2457,2091,1263,1928
"Cristiana/Evangélica (032)",911,160,161,152,138,98,202
"Otra (033)",344,49,66,71,66,31,61
"Ninguna (034)",133,35,31,31,17,9,10
,,,,,,,
"RURAL (036)",28036,4636,5077,4908,4277,3295,5843
"Católica (037)",24719,4114,4512,4364,3754,2940,5035
"Cristiana/Evangélica (038)",2575,391,407,428,419,283,647
"Otra (039)",528,65,101,83,77,63,139
"Ninguna (040)",214,66,57,33,27,9,22
"Hombres (042)",13659,2314,2466,2374,2096,1616,2793
"Católica (043)",12095,2055,2191,2124,1857,1451,2417
"Cristiana/Evangélica (044)",1201,200,191,193,190,126,301
"Otra (045)",251,27,54,36,37,33,64
"Ninguna (046)",112,32,30,21,12,6,11
"Mujeres (048)",14377,2322,2611,2534,2181,1679,3050
"Católica (049)",12624,2059,2321,2240,1897,1489,2618
"Cristiana/Evangélica (050)",1374,191,216,235,229,157,346
"Otra (051)",277,38,47,47,40,30,75
"Ninguna (052)",102,34,27,12,15,3,11
