"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia COTABAMBAS (000)",986,334,652
"De 14 a 29 años (001)",371,163,208
"De 30 a 44 años (002)",377,133,244
"De 45 a 64 años (003)",197,38,159
"De 65 y más años (004)",41,,41
"Hombres (005)",848,244,604
"De 14 a 29 años (006)",311,119,192
"De 30 a 44 años (007)",327,97,230
"De 45 a 64 años (008)",172,28,144
"De 65 y más años (009)",38,,38
"Mujeres (010)",138,90,48
"De 14 a 29 años (011)",60,44,16
"De 30 a 44 años (012)",50,36,14
"De 45 a 64 años (013)",25,10,15
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",215,65,150
"De 14 a 29 años (016)",87,37,50
"De 30 a 44 años (017)",79,24,55
"De 45 a 64 años (018)",41,4,37
"De 65 y más años (019)",8,,8
"Hombres (020)",160,37,123
"De 14 a 29 años (021)",66,24,42
"De 30 a 44 años (022)",56,11,45
"De 45 a 64 años (023)",31,2,29
"De 65 y más años (024)",7,,7
"Mujeres (025)",55,28,27
"De 14 a 29 años (026)",21,13,8
"De 30 a 44 años (027)",23,13,10
"De 45 a 64 años (028)",10,2,8
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",771,269,502
"De 14 a 29 años (031)",284,126,158
"De 30 a 44 años (032)",298,109,189
"De 45 a 64 años (033)",156,34,122
"De 65 y más años (034)",33,,33
"Hombres (035)",688,207,481
"De 14 a 29 años (036)",245,95,150
"De 30 a 44 años (037)",271,86,185
"De 45 a 64 años (038)",141,26,115
"De 65 y más años (039)",31,,31
"Mujeres (040)",83,62,21
"De 14 a 29 años (041)",39,31,8
"De 30 a 44 años (042)",27,23,4
"De 45 a 64 años (043)",15,8,7
"De 65 y más años (044)",2,,2
