"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia HUANTA",,,,,,,
"Viviendas particulares (001)",22713,2784,473,693,16919,462,1382
"Ocupantes presentes (002)",92450,10700,1799,2925,70067,1624,5335
"Casa independiente",,,,,,,
"Viviendas particulares (004)",21060,2464,406,678,15822,433,1257
"Ocupantes presentes (005)",86245,9512,1610,2864,65911,1527,4821
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",30,19,,,9,2,
"Ocupantes presentes (008)",123,60,,,56,7,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",113,80,,3,25,,5
"Ocupantes presentes (011)",522,344,,13,148,,17
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",87,59,,3,19,3,3
"Ocupantes presentes (014)",361,241,,9,86,13,12
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1343,136,54,8,1016,20,109
"Ocupantes presentes (017)",4877,440,139,35,3738,59,466
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",55,21,13,1,17,,3
"Ocupantes presentes (020)",220,92,50,4,67,,7
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",21,4,,,10,3,4
"Ocupantes presentes (023)",92,10,,,55,17,10
"Otro tipo",,,,,,,
"Viviendas particulares (025)",4,1,,,1,1,1
"Ocupantes presentes (026)",10,1,,,6,1,2
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",9802,2022,256,404,6631,164,325
"Ocupantes presentes (029)",42123,7979,972,1894,29358,599,1321
"Casa independiente",,,,,,,
"Viviendas particulares (031)",9508,1839,243,397,6557,158,314
"Ocupantes presentes (032)",40866,7232,922,1868,28986,573,1285
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",30,19,,,9,2,
"Ocupantes presentes (035)",123,60,,,56,7,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",113,80,,3,25,,5
"Ocupantes presentes (038)",522,344,,13,148,,17
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",87,59,,3,19,3,3
"Ocupantes presentes (041)",361,241,,9,86,13,12
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",55,21,13,1,17,,3
"Ocupantes presentes (047)",220,92,50,4,67,,7
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",9,4,,,4,1,
"Ocupantes presentes (050)",31,10,,,15,6,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",12911,762,217,289,10288,298,1057
"Ocupantes presentes (056)",50327,2721,827,1031,40709,1025,4014
"Casa independiente",,,,,,,
"Viviendas particulares (058)",11552,625,163,281,9265,275,943
"Ocupantes presentes (059)",45379,2280,688,996,36925,954,3536
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1343,136,54,8,1016,20,109
"Ocupantes presentes (071)",4877,440,139,35,3738,59,466
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",12,,,,6,2,4
"Ocupantes presentes (077)",61,,,,40,11,10
"Otro tipo",,,,,,,
"Viviendas particulares (079)",4,1,,,1,1,1
"Ocupantes presentes (080)",10,1,,,6,1,2
