"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LUYA (000)",44824,7012,1447,25366,8788,478,993,275,465
"Jefe o Jefa (001)",11837,1350,9,7377,2120,176,441,111,253
"Esposa(o)/ compa¤era(o) (002)",8240,1305,7,5188,1308,91,216,29,96
"Hijo(a)/ hijastro(a) (003)",19246,2985,1193,10171,4419,148,181,93,56
"Yerno/ nuera (004)",438,8,2,203,161,13,34,8,9
"Nieto(a) (005)",1840,471,171,928,246,8,11,4,1
"Padres/ suegros (006)",612,337,,261,10,,3,1,
"Otro(a) pariente (007)",2039,459,62,1011,393,19,58,18,19
"Trabajador(a) del hogar (008)",64,6,,40,14,3,1,,
"Pensionista (009)",61,1,,8,25,5,13,2,7
"Otro(a) no pariente (010)",447,90,3,179,92,15,35,9,24
"Hombres (012)",23127,2721,717,13487,5015,268,469,183,267
"Jefe o Jefa (013)",9344,645,6,6101,1842,143,316,97,194
"Esposa(o)/ compa¤era(o) (014)",359,39,,223,75,5,7,2,8
"Hijo(a)/ hijastro(a) (015)",10522,1467,602,5685,2525,85,70,63,25
"Yerno/ nuera (016)",209,3,1,88,84,6,19,1,7
"Nieto(a) (017)",971,244,74,485,155,5,6,1,1
"Padres/ suegros (018)",167,56,,103,7,,,1,
"Otro(a) pariente (019)",1208,214,32,652,249,13,26,11,11
"Trabajador(a) del hogar (020)",11,2,,6,3,,,,
"Pensionista (021)",39,,,8,15,2,6,1,7
"Otro(a) no pariente (022)",297,51,2,136,60,9,19,6,14
"Mujeres (024)",21697,4291,730,11879,3773,210,524,92,198
"Jefe o Jefa (025)",2493,705,3,1276,278,33,125,14,59
"Esposa(o)/ compa¤era(o) (026)",7881,1266,7,4965,1233,86,209,27,88
"Hijo(a)/ hijastro(a) (027)",8724,1518,591,4486,1894,63,111,30,31
"Yerno/ nuera (028)",229,5,1,115,77,7,15,7,2
"Nieto(a) (029)",869,227,97,443,91,3,5,3,
"Padres/ suegros (030)",445,281,,158,3,,3,,
"Otro(a) pariente (031)",831,245,30,359,144,6,32,7,8
"Trabajador(a) del hogar (032)",53,4,,34,11,3,1,,
"Pensionista (033)",22,1,,,10,3,7,1,
"Otro(a) no pariente (034)",150,39,1,43,32,6,16,3,10
,,,,,,,,,
"URBANA (036)",18197,2469,613,8943,4561,368,694,175,374
"Jefe o Jefa (037)",5097,479,3,2729,1182,137,300,63,204
"Esposa(o)/ compa¤era(o) (038)",3372,428,5,1854,754,68,163,19,81
"Hijo(a)/ hijastro(a) (039)",7335,1015,494,3343,2120,117,134,64,48
"Yerno/ nuera (040)",178,2,,55,70,12,25,6,8
"Nieto(a) (041)",730,182,74,332,128,5,5,3,1
"Padres/ suegros (042)",302,157,,135,7,,3,,
"Otro(a) pariente (043)",915,178,36,396,222,15,40,11,17
"Trabajador(a) del hogar (044)",46,1,,29,12,3,1,,
"Pensionista (045)",19,,,4,8,1,2,1,3
"Otro(a) no pariente (046)",203,27,1,66,58,10,21,8,12
