"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5057,975,739,1819,734,699,91
"Sin nivel (001)",1176,19,137,490,242,256,32
"Educación inicial (002)",12,,2,5,3,2,
"Primaria (003)",1692,56,283,749,325,247,32
"Secundaria (004)",1084,164,230,369,145,152,24
"Superior no univ. incompleta (005)",155,67,27,40,6,14,1
"Superior no univ. completa (006)",460,315,24,91,10,19,1
"Superior univ. incompleta (007)",107,66,15,20,,5,1
"Superior univ. completa (008)",371,288,21,55,3,4,
"Hombres (010)",3702,568,683,1422,679,350,
"Sin nivel (011)",738,5,122,338,212,61,
"Educación inicial (012)",10,,1,5,3,1,
"Primaria (013)",1390,36,262,634,305,153,
"Secundaria (014)",855,89,213,293,143,117,
"Superior no univ. incompleta (015)",89,28,26,25,6,4,
"Superior no univ. completa (016)",289,180,24,69,7,9,
"Superior univ. incompleta (017)",80,44,14,19,,3,
"Superior univ. completa (018)",251,186,21,39,3,2,
"Mujeres (020)",1355,407,56,397,55,349,91
"Sin nivel (021)",438,14,15,152,30,195,32
"Educación inicial (022)",2,,1,,,1,
"Primaria (023)",302,20,21,115,20,94,32
"Secundaria (024)",229,75,17,76,2,35,24
"Superior no univ. incompleta (025)",66,39,1,15,,10,1
"Superior no univ. completa (026)",171,135,,22,3,10,1
"Superior univ. incompleta (027)",27,22,1,1,,2,1
"Superior univ. completa (028)",120,102,,16,,2,
,,,,,,,
"URBANA (030)",1290,592,144,418,11,97,28
"Sin nivel (031)",90,6,7,53,1,18,5
"Educación inicial (032)",4,,2,2,,,
"Primaria (033)",199,19,35,111,2,22,10
"Secundaria (034)",300,86,55,115,3,30,11
"Superior no univ. incompleta (035)",85,31,14,28,2,10,
"Superior no univ. completa (036)",282,200,10,60,1,10,1
"Superior univ. incompleta (037)",67,44,6,12,,4,1
"Superior univ. completa (038)",263,206,15,37,2,3,
"Hombres (040)",788,333,139,272,7,37,
"Sin nivel (041)",39,1,5,30,1,2,
"Educación inicial (042)",3,,1,2,,,
"Primaria (043)",122,11,33,69,,9,
"Secundaria (044)",204,54,55,75,2,18,
"Superior no univ. incompleta (045)",45,11,14,16,2,2,
"Superior no univ. completa (046)",155,99,10,43,,3,
"Superior univ. incompleta (047)",50,31,6,11,,2,
"Superior univ. completa (048)",170,126,15,26,2,1,
"Mujeres (050)",502,259,5,146,4,60,28
"Sin nivel (051)",51,5,2,23,,16,5
"Educación inicial (052)",1,,1,,,,
"Primaria (053)",77,8,2,42,2,13,10
"Secundaria (054)",96,32,,40,1,12,11
"Superior no univ. incompleta (055)",40,20,,12,,8,
"Superior no univ. completa (056)",127,101,,17,1,7,1
"Superior univ. incompleta (057)",17,13,,1,,2,1
"Superior univ. completa (058)",93,80,,11,,2,
,,,,,,,
"RURAL (060)",3767,383,595,1401,723,602,63
"Sin nivel (061)",1086,13,130,437,241,238,27
"Educación inicial (062)",8,,,3,3,2,
"Primaria (063)",1493,37,248,638,323,225,22
"Secundaria (064)",784,78,175,254,142,122,13
"Superior no univ. incompleta (065)",70,36,13,12,4,4,1
"Superior no univ. completa (066)",178,115,14,31,9,9,
"Superior univ. incompleta (067)",40,22,9,8,,1,
"Superior univ. completa (068)",108,82,6,18,1,1,
"Hombres (070)",2914,235,544,1150,672,313,
"Sin nivel (071)",699,4,117,308,211,59,
"Educación inicial (072)",7,,,3,3,1,
"Primaria (073)",1268,25,229,565,305,144,
"Secundaria (074)",651,35,158,218,141,99,
"Superior no univ. incompleta (075)",44,17,12,9,4,2,
"Superior no univ. completa (076)",134,81,14,26,7,6,
"Superior univ. incompleta (077)",30,13,8,8,,1,
"Superior univ. completa (078)",81,60,6,13,1,1,
"Mujeres (080)",853,148,51,251,51,289,63
"Sin nivel (081)",387,9,13,129,30,179,27
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",225,12,19,73,18,81,22
"Secundaria (084)",133,43,17,36,1,23,13
"Superior no univ. incompleta (085)",26,19,1,3,,2,1
"Superior no univ. completa (086)",44,34,,5,2,3,
"Superior univ. incompleta (087)",10,9,1,,,,
"Superior univ. completa (088)",27,22,,5,,,
