"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CAJABAMBA (000)",19058,246,7458,6423,1938,689,312,137,26,,1829
"Sin Nivel (001)",5817,97,2286,1958,589,225,106,62,11,,483
"Educación Inicial (002)",28,1,12,10,,1,,,,,4
"Primaria (003)",10098,131,4379,3358,872,273,130,59,12,,884
"Secundaria (004)",1633,14,574,568,162,60,25,6,,,224
"Sup. no Univ. Incompleta (005)",278,1,66,118,32,9,1,1,,,50
"Sup. no Univ. Completa (006)",887,1,114,320,209,80,35,6,,,122
"Sup. Univ. Incompleta (007)",82,,10,29,12,6,2,,,,23
"Sup. Univ. Completa (008)",235,1,17,62,62,35,13,3,3,,39
,,,,,,,,,,,
"URBANA (010)",5163,54,1604,1725,678,285,131,50,10,,626
"Sin Nivel (011)",787,20,300,228,81,38,21,11,2,,86
"Educación Inicial (012)",8,1,2,4,,,,,,,1
"Primaria (013)",2142,20,806,713,227,86,46,25,5,,214
"Secundaria (014)",938,10,315,320,101,46,16,4,,,126
"Sup. no Univ. Incompleta (015)",213,1,51,89,25,6,1,1,,,39
"Sup. no Univ. Completa (016)",777,1,105,284,177,70,32,6,,,102
"Sup. Univ. Incompleta (017)",74,,8,28,10,5,2,,,,21
"Sup. Univ. Completa (018)",224,1,17,59,57,34,13,3,3,,37
,,,,,,,,,,,
"RURAL (020)",13895,192,5854,4698,1260,404,181,87,16,,1203
"Sin Nivel (021)",5030,77,1986,1730,508,187,85,51,9,,397
"Educación Inicial (022)",20,,10,6,,1,,,,,3
"Primaria (023)",7956,111,3573,2645,645,187,84,34,7,,670
"Secundaria (024)",695,4,259,248,61,14,9,2,,,98
"Sup. no Univ. Incompleta (025)",65,,15,29,7,3,,,,,11
"Sup. no Univ. Completa (026)",110,,9,36,32,10,3,,,,20
"Sup. Univ. Incompleta (027)",8,,2,1,2,1,,,,,2
"Sup. Univ. Completa (028)",11,,,3,5,1,,,,,2
