"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LUCANAS (000)",824,483,341
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",68,66,2
"Casa pensión (003)",3,3,
"Hospital, clinica (004)",28,28,
"Aldea infantil, orfelinato, etc (007)",13,13,
"Otro (008)",319,113,206
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",393,260,133
