"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUANCABAMBA (000)",124298,120849,2870,579
"Hombres (001)",62396,61073,1034,289
"Mujeres (002)",61902,59776,1836,290
"Menores de 1 año (003)",3046,2300,610,136
"Hombres (004)",1540,1166,302,72
"Mujeres (005)",1506,1134,308,64
"De 1 a 5 años (006)",15029,13841,842,346
"Hombres (007)",7676,7081,413,182
"Mujeres (008)",7353,6760,429,164
"De 6 a 14 años (009)",31052,30890,139,23
"Hombres (010)",15804,15745,49,10
"Mujeres (011)",15248,15145,90,13
"De 15 a 29 años (012)",29102,28998,88,16
"Hombres (013)",14773,14736,31,6
"Mujeres (014)",14329,14262,57,10
"De 30 a 44 años (015)",20371,20251,111,9
"Hombres (016)",9998,9966,27,5
"Mujeres (017)",10373,10285,84,4
"De 45 a 64 años (018)",17358,17005,336,17
"Hombres (019)",8546,8485,54,7
"Mujeres (020)",8812,8520,282,10
"De 65 a más años (021)",8340,7564,744,32
"Hombres (022)",4059,3894,158,7
"Mujeres (023)",4281,3670,586,25
,,,,
"URBANA (024)",15358,15204,110,44
"Hombres (025)",7598,7533,48,17
"Mujeres (026)",7760,7671,62,27
"Menores de 1 año (027)",247,218,25,4
"Hombres (028)",128,115,12,1
"Mujeres (029)",119,103,13,3
"De 1 a 5 años (030)",1393,1322,36,35
"Hombres (031)",746,710,21,15
"Mujeres (032)",647,612,15,20
"De 6 a 14 años (033)",3194,3193,1,
"Hombres (034)",1666,1665,1,
"Mujeres (035)",1528,1528,,
"De 15 a 29 años (036)",3906,3900,4,2
"Hombres (037)",1865,1865,,
"Mujeres (038)",2041,2035,4,2
"De 30 a 44 años (039)",3210,3206,4,
"Hombres (040)",1527,1525,2,
"Mujeres (041)",1683,1681,2,
"De 45 a 64 años (042)",2351,2343,7,1
"Hombres (043)",1150,1147,2,1
"Mujeres (044)",1201,1196,5,
"De 65 a más años (045)",1057,1022,33,2
"Hombres (046)",516,506,10,
"Mujeres (047)",541,516,23,2
,,,,
"RURAL (048)",108940,105645,2760,535
"Hombres (049)",54798,53540,986,272
"Mujeres (050)",54142,52105,1774,263
"Menores de 1 año (051)",2799,2082,585,132
"Hombres (052)",1412,1051,290,71
"Mujeres (053)",1387,1031,295,61
"De 1 a 5 años (054)",13636,12519,806,311
"Hombres (055)",6930,6371,392,167
"Mujeres (056)",6706,6148,414,144
"De 6 a 14 años (057)",27858,27697,138,23
"Hombres (058)",14138,14080,48,10
"Mujeres (059)",13720,13617,90,13
"De 15 a 29 años (060)",25196,25098,84,14
"Hombres (061)",12908,12871,31,6
"Mujeres (062)",12288,12227,53,8
"De 30 a 44 años (063)",17161,17045,107,9
"Hombres (064)",8471,8441,25,5
"Mujeres (065)",8690,8604,82,4
"De 45 a 64 años (066)",15007,14662,329,16
"Hombres (067)",7396,7338,52,6
"Mujeres (068)",7611,7324,277,10
"De 65 a más años (069)",7283,6542,711,30
"Hombres (070)",3543,3388,148,7
"Mujeres (071)",3740,3154,563,23
