"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUPACA (000)",14757,84,4541,5277,1995,718,299,108,12,,1723
"Conviviente (001)",3603,23,1228,1299,463,120,55,15,1,,399
"Separado(a) (002)",1014,8,334,351,167,63,28,9,,,54
"Casado(a) (003)",6489,32,2120,2549,900,310,147,44,6,,381
"Viudo(a) (004)",1544,17,470,562,218,98,33,26,3,,117
"Divorciado(a) (005)",88,,20,38,18,5,2,1,1,,3
"Soltero(a) (006)",2019,4,369,478,229,122,34,13,1,,769
,,,,,,,,,,,
"URBANA (008)",8878,38,2578,3153,1267,460,201,69,9,,1103
"Conviviente (009)",2259,12,729,811,311,76,35,8,1,,276
"Separado(a) (010)",626,5,199,220,108,37,17,3,,,37
"Casado(a) (011)",3905,15,1183,1522,587,209,111,30,4,,244
"Viudo(a) (012)",890,6,264,331,121,59,21,20,3,,65
"Divorciado(a) (013)",59,,13,25,14,2,1,,1,,3
"Soltero(a) (014)",1139,,190,244,126,77,16,8,,,478
,,,,,,,,,,,
"RURAL (016)",5879,46,1963,2124,728,258,98,39,3,,620
"Conviviente (017)",1344,11,499,488,152,44,20,7,,,123
"Separado(a) (018)",388,3,135,131,59,26,11,6,,,17
"Casado(a) (019)",2584,17,937,1027,313,101,36,14,2,,137
"Viudo(a) (020)",654,11,206,231,97,39,12,6,,,52
"Divorciado(a) (021)",29,,7,13,4,3,1,1,,,
"Soltero(a) (022)",880,4,179,234,103,45,18,5,1,,291
