"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia POMABAMBA",,,,,
"Viviendas particulares (001)",488,119,56,125,188
"Ocupantes presentes (002)",2125,524,244,553,804
"Casa independiente",,,,,
"Viviendas particulares (004)",481,116,56,124,185
"Ocupantes presentes (005)",2104,514,244,549,797
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",4,1,,,3
"Ocupantes presentes (011)",9,2,,,7
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",3,2,,1,
"Ocupantes presentes (014)",12,8,,4,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",206,35,30,56,85
"Ocupantes presentes (029)",901,146,119,255,381
"Casa independiente",,,,,
"Viviendas particulares (031)",199,32,30,55,82
"Ocupantes presentes (032)",880,136,119,251,374
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",4,1,,,3
"Ocupantes presentes (038)",9,2,,,7
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",3,2,,1,
"Ocupantes presentes (041)",12,8,,4,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",282,84,26,69,103
"Ocupantes presentes (056)",1224,378,125,298,423
"Casa independiente",,,,,
"Viviendas particulares (058)",282,84,26,69,103
"Ocupantes presentes (059)",1224,378,125,298,423
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
