"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TALARA (000)",35679,269,11192,11672,4990,1813,798,204,34,,4707
"Catolica (001)",29465,218,9012,9629,4205,1536,685,175,29,,3976
"Cristiana / Evangelica (002)",4863,38,1755,1543,621,228,90,27,4,,557
"Otra (003)",975,4,273,372,137,43,18,2,,,126
"Ninguna (004)",376,9,152,128,27,6,5,,1,,48
,,,,,,,,,,,
"URBANA (006)",35086,264,10966,11508,4902,1791,788,202,33,,4632
"Catolica (007)",28953,214,8820,9494,4123,1515,676,173,28,,3910
"Cristiana / Evangelica (008)",4803,37,1728,1524,617,227,90,27,4,,549
"Otra (009)",967,4,269,368,137,43,18,2,,,126
"Ninguna (010)",363,9,149,122,25,6,4,,1,,47
,,,,,,,,,,,
"RURAL (012)",593,5,226,164,88,22,10,2,1,,75
"Catolica (013)",512,4,192,135,82,21,9,2,1,,66
"Cristiana / Evangelica (014)",60,1,27,19,4,1,,,,,8
"Otra (015)",8,,4,4,,,,,,,
"Ninguna (016)",13,,3,6,2,,1,,,,1
