"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia RECUAY",,,,
"Viviendas particulares (001)",3290,2943,161,186
"Ocupantes presentes (002)",13176,11929,669,578
"Casa independiente",,,,
"Viviendas particulares (004)",3245,2932,157,156
"Ocupantes presentes (005)",13029,11895,650,484
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",8,6,2,
"Ocupantes presentes (011)",27,19,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",30,2,1,27
"Ocupantes presentes (014)",96,9,2,85
"Choza o cabaña",,,,
"Viviendas particulares (016)",2,,,2
"Ocupantes presentes (017)",8,,,8
"Vivienda improvisada",,,,
"Viviendas particulares (019)",2,,1,1
"Ocupantes presentes (020)",10,,9,1
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",3,3,,
"Ocupantes presentes (023)",6,6,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3041,2721,145,175
"Ocupantes presentes (029)",12162,11035,581,546
"Casa independiente",,,,
"Viviendas particulares (031)",3001,2713,141,147
"Ocupantes presentes (032)",12034,11015,562,457
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",6,4,2,
"Ocupantes presentes (038)",16,8,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",29,1,1,27
"Ocupantes presentes (041)",93,6,2,85
"Choza o cabaña",,,,
"Viviendas particulares (043)",1,,,1
"Ocupantes presentes (044)",4,,,4
"Vivienda improvisada",,,,
"Viviendas particulares (046)",1,,1,
"Ocupantes presentes (047)",9,,9,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",3,3,,
"Ocupantes presentes (050)",6,6,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",249,222,16,11
"Ocupantes presentes (056)",1014,894,88,32
"Casa independiente",,,,
"Viviendas particulares (058)",244,219,16,9
"Ocupantes presentes (059)",995,880,88,27
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",2,2,,
"Ocupantes presentes (065)",11,11,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",1,1,,
"Ocupantes presentes (068)",3,3,,
"Choza o cabaña",,,,
"Viviendas particulares (070)",1,,,1
"Ocupantes presentes (071)",4,,,4
"Vivienda improvisada",,,,
"Viviendas particulares (073)",1,,,1
"Ocupantes presentes (074)",1,,,1
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2246,2007,101,138
"Ocupantes presentes (110)",8793,7977,427,389
"Casa independiente",,,,
"Viviendas particulares (112)",2203,1996,97,110
"Ocupantes presentes (113)",8654,7943,408,303
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",8,6,2,
"Ocupantes presentes (119)",27,19,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",30,2,1,27
"Ocupantes presentes (122)",96,9,2,85
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",2,,1,1
"Ocupantes presentes (128)",10,,9,1
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",3,3,,
"Ocupantes presentes (131)",6,6,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2064,1846,88,130
"Ocupantes presentes (137)",8064,7341,356,367
"Casa independiente",,,,
"Viviendas particulares (139)",2025,1838,84,103
"Ocupantes presentes (140)",7940,7321,337,282
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",6,4,2,
"Ocupantes presentes (146)",16,8,8,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",29,1,1,27
"Ocupantes presentes (149)",93,6,2,85
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",1,,1,
"Ocupantes presentes (155)",9,,9,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",3,3,,
"Ocupantes presentes (158)",6,6,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",182,161,13,8
"Ocupantes presentes (164)",729,636,71,22
"Casa independiente",,,,
"Viviendas particulares (166)",178,158,13,7
"Ocupantes presentes (167)",714,622,71,21
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",2,2,,
"Ocupantes presentes (173)",11,11,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",1,1,,
"Ocupantes presentes (176)",3,3,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",1,,,1
"Ocupantes presentes (182)",1,,,1
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1044,936,60,48
"Ocupantes presentes (218)",4383,3952,242,189
"Casa independiente",,,,
"Viviendas particulares (220)",1042,936,60,46
"Ocupantes presentes (221)",4375,3952,242,181
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",2,,,2
"Ocupantes presentes (233)",8,,,8
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",977,875,57,45
"Ocupantes presentes (245)",4098,3694,225,179
"Casa independiente",,,,
"Viviendas particulares (247)",976,875,57,44
"Ocupantes presentes (248)",4094,3694,225,175
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",1,,,1
"Ocupantes presentes (260)",4,,,4
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",67,61,3,3
"Ocupantes presentes (272)",285,258,17,10
"Casa independiente",,,,
"Viviendas particulares (274)",66,61,3,2
"Ocupantes presentes (275)",281,258,17,6
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",1,,,1
"Ocupantes presentes (287)",4,,,4
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
