"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CASMA",,,,,,,,,
"Viviendas particulares (001)",918,876,23,4,8,1,,1,5
"Ocupantes presentes (002)",3176,2990,98,12,32,7,,4,33
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",913,871,23,4,8,1,,1,5
"Ocupantes presentes (005)",3159,2973,98,12,32,7,,4,33
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,4,,,,,,,
"Ocupantes presentes (020)",12,12,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",5,5,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",656,646,1,1,3,,,1,4
"Ocupantes presentes (029)",2103,2061,2,1,9,,,4,26
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",652,642,1,1,3,,,1,4
"Ocupantes presentes (032)",2091,2049,2,1,9,,,4,26
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,4,,,,,,,
"Ocupantes presentes (047)",12,12,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",262,230,22,3,5,1,,,1
"Ocupantes presentes (056)",1073,929,96,11,23,7,,,7
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",261,229,22,3,5,1,,,1
"Ocupantes presentes (059)",1068,924,96,11,23,7,,,7
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",5,5,,,,,,,
"Otro tipo",,,,,,,,,
