"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TALARA (000)",42659,24829,5135,4871,7824
"Hombres (001)",31064,17107,3994,3598,6365
"Mujeres (002)",11595,7722,1141,1273,1459
"De 06 a 14 años (003)",415,357,47,5,6
"Hombres (004)",321,270,40,5,6
"Mujeres (005)",94,87,7,,
"De 15 a 29 años (006)",13999,8420,2090,1526,1963
"Hombres (007)",10140,5971,1587,1072,1510
"Mujeres (008)",3859,2449,503,454,453
"De 30 a 44 años (009)",14884,8363,1783,1862,2876
"Hombres (010)",10538,5532,1379,1366,2261
"Mujeres (011)",4346,2831,404,496,615
"De 45 a 64 años (012)",12138,6759,1124,1404,2851
"Hombres (013)",9144,4667,913,1089,2475
"Mujeres (014)",2994,2092,211,315,376
"De 65 y más años (015)",1223,930,91,74,128
"Hombres (016)",921,667,75,66,113
"Mujeres (017)",302,263,16,8,15
,,,,,
"URBANA (018)",41644,24048,5053,4796,7747
"Hombres (019)",30218,16436,3929,3542,6311
"Mujeres (020)",11426,7612,1124,1254,1436
"De 06 a 14 años (021)",407,349,47,5,6
"Hombres (022)",313,262,40,5,6
"Mujeres (023)",94,87,7,,
"De 15 a 29 años (024)",13615,8105,2054,1511,1945
"Hombres (025)",9817,5696,1558,1061,1502
"Mujeres (026)",3798,2409,496,450,443
"De 30 a 44 años (027)",14548,8122,1761,1826,2839
"Hombres (028)",10256,5322,1362,1338,2234
"Mujeres (029)",4292,2800,399,488,605
"De 45 a 64 años (030)",11887,6574,1102,1381,2830
"Hombres (031)",8947,4521,896,1073,2457
"Mujeres (032)",2940,2053,206,308,373
"De 65 y más años (033)",1187,898,89,73,127
"Hombres (034)",885,635,73,65,112
"Mujeres (035)",302,263,16,8,15
,,,,,
"RURAL (036)",1015,781,82,75,77
"Hombres (037)",846,671,65,56,54
"Mujeres (038)",169,110,17,19,23
"De 06 a 14 años (039)",8,8,,,
"Hombres (040)",8,8,,,
"De 15 a 29 años (042)",384,315,36,15,18
"Hombres (043)",323,275,29,11,8
"Mujeres (044)",61,40,7,4,10
"De 30 a 44 años (045)",336,241,22,36,37
"Hombres (046)",282,210,17,28,27
"Mujeres (047)",54,31,5,8,10
"De 45 a 64 años (048)",251,185,22,23,21
"Hombres (049)",197,146,17,16,18
"Mujeres (050)",54,39,5,7,3
"De 65 y más años (051)",36,32,2,1,1
"Hombres (052)",36,32,2,1,1
