"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CAYLLOMA (000)",32467,3966,10687,12361,1103,4067,283
"Sin nivel (001)",3042,85,806,1295,92,740,24
"Educación inicial (002)",27,1,17,3,,5,1
"Primaria (003)",8783,321,3056,3664,287,1376,79
"Secundaria (004)",11390,1064,4551,4041,315,1293,126
"Superior no univ. incompleta (005)",2446,441,731,980,68,203,23
"Superior no univ. completa (006)",2975,867,755,1083,100,155,15
"Superior univ. incompleta (007)",1287,238,331,476,94,138,10
"Superior univ. completa (008)",2517,949,440,819,147,157,5
"Hombres (010)",19896,2192,7359,7963,848,1505,29
"Sin nivel (011)",922,24,285,451,56,105,1
"Educación inicial (012)",12,,8,2,,2,
"Primaria (013)",4993,155,1810,2345,213,461,9
"Secundaria (014)",7781,612,3485,2790,250,629,15
"Superior no univ. incompleta (015)",1622,240,560,678,56,85,3
"Superior no univ. completa (016)",1978,475,604,736,82,80,1
"Superior univ. incompleta (017)",947,159,271,365,82,70,
"Superior univ. completa (018)",1641,527,336,596,109,73,
"Mujeres (020)",12571,1774,3328,4398,255,2562,254
"Sin nivel (021)",2120,61,521,844,36,635,23
"Educación inicial (022)",15,1,9,1,,3,1
"Primaria (023)",3790,166,1246,1319,74,915,70
"Secundaria (024)",3609,452,1066,1251,65,664,111
"Superior no univ. incompleta (025)",824,201,171,302,12,118,20
"Superior no univ. completa (026)",997,392,151,347,18,75,14
"Superior univ. incompleta (027)",340,79,60,111,12,68,10
"Superior univ. completa (028)",876,422,104,223,38,84,5
,,,,,,,
"URBANA (030)",20948,3359,6493,8393,476,2004,223
"Sin nivel (031)",1617,72,471,734,20,299,21
"Educación inicial (032)",11,1,8,1,,1,
"Primaria (033)",5160,285,1832,2252,127,606,58
"Secundaria (034)",7775,961,2828,3002,146,739,99
"Superior no univ. incompleta (035)",1798,389,462,755,37,136,19
"Superior no univ. completa (036)",2094,718,440,785,56,82,13
"Superior univ. incompleta (037)",815,202,192,313,33,67,8
"Superior univ. completa (038)",1678,731,260,551,57,74,5
"Hombres (040)",12347,1834,4355,5068,332,742,16
"Sin nivel (041)",408,17,139,206,11,34,1
"Educación inicial (042)",5,,3,1,,1,
"Primaria (043)",2775,134,1079,1289,87,184,2
"Secundaria (044)",5120,543,2140,1962,106,359,10
"Superior no univ. incompleta (045)",1118,212,328,497,27,52,2
"Superior no univ. completa (046)",1299,395,324,499,41,39,1
"Superior univ. incompleta (047)",563,128,148,223,27,37,
"Superior univ. completa (048)",1059,405,194,391,33,36,
"Mujeres (050)",8601,1525,2138,3325,144,1262,207
"Sin nivel (051)",1209,55,332,528,9,265,20
"Educación inicial (052)",6,1,5,,,,
"Primaria (053)",2385,151,753,963,40,422,56
"Secundaria (054)",2655,418,688,1040,40,380,89
"Superior no univ. incompleta (055)",680,177,134,258,10,84,17
"Superior no univ. completa (056)",795,323,116,286,15,43,12
"Superior univ. incompleta (057)",252,74,44,90,6,30,8
"Superior univ. completa (058)",619,326,66,160,24,38,5
,,,,,,,
"RURAL (060)",11519,607,4194,3968,627,2063,60
"Sin nivel (061)",1425,13,335,561,72,441,3
"Educación inicial (062)",16,,9,2,,4,1
"Primaria (063)",3623,36,1224,1412,160,770,21
"Secundaria (064)",3615,103,1723,1039,169,554,27
"Superior no univ. incompleta (065)",648,52,269,225,31,67,4
"Superior no univ. completa (066)",881,149,315,298,44,73,2
"Superior univ. incompleta (067)",472,36,139,163,61,71,2
"Superior univ. completa (068)",839,218,180,268,90,83,
"Hombres (070)",7549,358,3004,2895,516,763,13
"Sin nivel (071)",514,7,146,245,45,71,
"Educación inicial (072)",7,,5,1,,1,
"Primaria (073)",2218,21,731,1056,126,277,7
"Secundaria (074)",2661,69,1345,828,144,270,5
"Superior no univ. incompleta (075)",504,28,232,181,29,33,1
"Superior no univ. completa (076)",679,80,280,237,41,41,
"Superior univ. incompleta (077)",384,31,123,142,55,33,
"Superior univ. completa (078)",582,122,142,205,76,37,
"Mujeres (080)",3970,249,1190,1073,111,1300,47
"Sin nivel (081)",911,6,189,316,27,370,3
"Educación inicial (082)",9,,4,1,,3,1
"Primaria (083)",1405,15,493,356,34,493,14
"Secundaria (084)",954,34,378,211,25,284,22
"Superior no univ. incompleta (085)",144,24,37,44,2,34,3
"Superior no univ. completa (086)",202,69,35,61,3,32,2
"Superior univ. incompleta (087)",88,5,16,21,6,38,2
"Superior univ. completa (088)",257,96,38,63,14,46,
