"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia HUANUCO (000)",73617,68094,60978,3857,3259,5523,371,1197,3587,368
"Casa independiente (001)",65813,60812,54643,3290,2879,5001,273,1187,3206,335
"Departamento en edificio (002)",2102,1992,1812,149,31,110,47,3,47,13
"Vivienda en quinta (003)",1098,1069,982,77,10,29,14,5,10,
"Vivienda en casa de vecindad (004)",1415,1350,1259,84,7,65,37,2,21,5
"Choza o cabaña (005)",3074,2772,2198,245,329,302,,,287,15
"Vivienda improvisada (006)",51,35,20,12,3,16,,,16,
"Local no dest.para hab. humana (007)",61,61,61,,,,,,,
"Otro tipo (008)",3,3,3,,,,,,,
,,,,,,,,,,
"URBANA (009)",41332,38938,36687,1858,393,2394,309,630,1322,133
"Casa independiente (010)",36609,34435,32557,1536,342,2174,211,620,1228,115
"Departamento en edificio (011)",2102,1992,1812,149,31,110,47,3,47,13
"Vivienda en quinta (012)",1098,1069,982,77,10,29,14,5,10,
"Vivienda en casa de vecindad (013)",1415,1350,1259,84,7,65,37,2,21,5
"Vivienda improvisada (015)",51,35,20,12,3,16,,,16,
"Local no dest.para hab. humana (016)",55,55,55,,,,,,,
"Otro tipo (017)",2,2,2,,,,,,,
,,,,,,,,,,
"RURAL (018)",32285,29156,24291,1999,2866,3129,62,567,2265,235
"Casa independiente (019)",29204,26377,22086,1754,2537,2827,62,567,1978,220
"Choza o cabaña (023)",3074,2772,2198,245,329,302,,,287,15
"Local no dest.para hab. humana (025)",6,6,6,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
