"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN PABLO (000)",6729,210,2308,2174,1524,513
"Agric., ganadería, caza y silvicultura (001)",3967,139,1246,1199,984,399
"Explotación de minas y canteras (003)",13,,5,5,2,1
"Industrias manufactureras (004)",340,14,122,111,76,17
"Suministro de electricidad, gas y agua (005)",6,,2,3,1,
"Construcción (006)",227,,76,84,52,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",269,11,64,93,75,26
"Venta, mant.y rep. veh.autom.y motoc. (008)",17,,12,3,1,1
"Comercio al por mayor (009)",6,,,3,2,1
"Comercio al por menor (010)",246,11,52,87,72,24
"Hoteles y restaurantes (011)",65,1,19,20,20,5
"Trans., almac. y comunicaciones (012)",114,,45,42,24,3
"Intermediación financiera (013)",1,,,1,,
"Activid.inmobil., empres. y alquileres (014)",38,,15,13,10,
"Admin.pub. y defensa; p. segur.soc afil (015)",111,,30,46,33,2
"Enseñanza (016)",471,,89,267,113,2
"Servicios sociales y de salud (017)",49,,10,26,13,
"Otras activ. serv.comun.soc y personales (018)",46,3,16,18,9,
"Hogares privados con servicio doméstico (019)",75,4,35,18,14,4
"Actividad economica no especificada (021)",131,,51,35,29,16
"Desocupado (022)",806,38,483,193,69,23
"Hombres (023)",5211,114,1761,1657,1232,447
"Agric., ganadería, caza y silvicultura (024)",3470,85,1091,1047,874,373
"Explotación de minas y canteras (026)",13,,5,5,2,1
"Industrias manufactureras (027)",177,,57,61,45,14
"Suministro de electricidad, gas y agua (028)",6,,2,3,1,
"Construcción (029)",222,,74,82,52,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",131,8,31,45,32,15
"Venta, mant.y rep. veh.autom.y motoc. (031)",15,,10,3,1,1
"Comercio al por mayor (032)",4,,,2,2,
"Comercio al por menor (033)",112,8,21,40,29,14
"Hoteles y restaurantes (034)",13,,7,2,4,
"Trans., almac. y comunicaciones (035)",111,,43,41,24,3
"Intermediación financiera (036)",1,,,1,,
"Activid.inmobil., empres. y alquileres (037)",25,,11,7,7,
"Admin.pub. y defensa; p. segur.soc afil (038)",91,,24,36,29,2
"Enseñanza (039)",249,,41,132,76,
"Servicios sociales y de salud (040)",30,,5,16,9,
"Otras activ. serv.comun.soc y personales (041)",31,1,13,12,5,
"Hogares privados con servicio doméstico (042)",4,1,2,,1,
"Actividad economica no especificada (044)",30,,13,5,9,3
