"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LEONCIO PRADO (000)",55419,7590,15488,13619,18722
"Asiste actualmente (001)",33799,2252,14331,11329,5887
"No asiste (002)",21620,5338,1157,2290,12835
"Hombres (004)",28903,3916,8045,7035,9907
"Asiste actualmente (005)",17452,1153,7416,5790,3093
"No asiste (006)",11451,2763,629,1245,6814
"Mujeres (008)",26516,3674,7443,6584,8815
"Asiste actualmente (009)",16347,1099,6915,5539,2794
"No asiste (010)",10169,2575,528,1045,6021
,,,,,
"URBANA (012)",31939,3963,8422,8125,11429
"Asiste actualmente (013)",21619,1495,8055,7306,4763
"No asiste (014)",10320,2468,367,819,6666
"Hombres (016)",16225,2075,4264,4045,5841
"Asiste actualmente (017)",10927,778,4063,3647,2439
"No asiste (018)",5298,1297,201,398,3402
"Mujeres (020)",15714,1888,4158,4080,5588
"Asiste actualmente (021)",10692,717,3992,3659,2324
"No asiste (022)",5022,1171,166,421,3264
,,,,,
"RURAL (024)",23480,3627,7066,5494,7293
"Asiste actualmente (025)",12180,757,6276,4023,1124
"No asiste (026)",11300,2870,790,1471,6169
"Hombres (028)",12678,1841,3781,2990,4066
"Asiste actualmente (029)",6525,375,3353,2143,654
"No asiste (030)",6153,1466,428,847,3412
"Mujeres (032)",10802,1786,3285,2504,3227
"Asiste actualmente (033)",5655,382,2923,1880,470
"No asiste (034)",5147,1404,362,624,2757
