"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARAVELI (000)",109,76,33
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",30,29,1
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",4,4,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",50,26,24
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",20,12,8
