"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CARABAYA (000)",63010,12057,2857,638,47521
"Hombres (001)",32769,5927,1646,446,24802
"Mujeres (002)",30241,6130,1211,192,22719
"PEA (003)",27265,1661,1640,356,23655
"Hombres (004)",17485,843,1113,303,15270
"Mujeres (005)",9780,818,527,53,8385
"Ocupada (006)",24576,1543,1599,341,21139
"Hombres (007)",15403,770,1090,292,13294
"Mujeres (008)",9173,773,509,49,7845
"Desocupada (009)",2689,118,41,15,2516
"Hombres (010)",2082,73,23,11,1976
"Mujeres (011)",607,45,18,4,540
"No PEA (012)",35745,10396,1217,282,23866
"Hombres (013)",15284,5084,533,143,9532
"Mujeres (014)",20461,5312,684,139,14334
,,,,,
"URBANA (018)",25909,4827,2333,372,18401
"Hombres (019)",13063,2327,1328,255,9172
"Mujeres (020)",12846,2500,1005,117,9229
"PEA (021)",9648,589,1287,191,7595
"Hombres (022)",6182,294,862,162,4878
"Mujeres (023)",3466,295,425,29,2717
"Ocupada (024)",8154,534,1249,180,6204
"Hombres (025)",5057,264,841,153,3812
"Mujeres (026)",3097,270,408,27,2392
"Desocupada (027)",1494,55,38,11,1391
"Hombres (028)",1125,30,21,9,1066
"Mujeres (029)",369,25,17,2,325
"No PEA (030)",16261,4238,1046,181,10806
"Hombres (031)",6881,2033,466,93,4294
"Mujeres (032)",9380,2205,580,88,6512
,,,,,
"RURAL (036)",37101,7230,524,266,29120
"Hombres (037)",19706,3600,318,191,15630
"Mujeres (038)",17395,3630,206,75,13490
"PEA (039)",17617,1072,353,165,16060
"Hombres (040)",11303,549,251,141,10392
"Mujeres (041)",6314,523,102,24,5668
"Ocupada (042)",16422,1009,350,161,14935
"Hombres (043)",10346,506,249,139,9482
"Mujeres (044)",6076,503,101,22,5453
"Desocupada (045)",1195,63,3,4,1125
"Hombres (046)",957,43,2,2,910
"Mujeres (047)",238,20,1,2,215
"No PEA (048)",19484,6158,171,101,13060
"Hombres (049)",8403,3051,67,50,5238
"Mujeres (050)",11081,3107,104,51,7822
