"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHINCHA (000)",75531,69678,18550,11307,11935,9434,10245,4554,2232,1421,5853,172184
"De 12 a 14 años (001)",5920,5870,5854,14,2,,,,,,50,18
"De 15 a 19 años (002)",9286,8958,7740,1072,119,17,10,,,,328,1401
"De 20 a 24 años (003)",9163,7387,2738,3165,1186,234,51,13,,,1776,6536
"De 25 a 29 años (004)",8233,6785,604,2557,2316,978,309,16,5,,1448,11553
"De 30 a 34 años (005)",7899,7171,352,1559,2594,1634,933,86,8,5,728,16271
"De 35 a 39 años (006)",6951,6518,205,844,1874,1849,1427,263,43,13,433,18427
"De 40 a 44 años (007)",5966,5688,205,601,1309,1398,1624,445,86,20,278,18203
"De 45 a 49 años (008)",4940,4723,172,405,823,1056,1415,632,161,59,217,17432
"De 50 y más años (009)",17173,16578,680,1090,1712,2268,4476,3099,1929,1324,595,82343
"PEA (010)",27545,24309,4163,5115,5337,3900,3743,1292,490,269,3236,59098
"De 12 a 14 años (011)",185,183,180,3,,,,,,,2,3
"De 15 a 19 años (012)",1714,1659,1420,211,26,2,,,,,55,269
"De 20 a 24 años (013)",3843,2883,1308,1143,359,53,17,3,,,960,2108
"De 25 a 29 años (014)",4057,3055,391,1276,940,328,113,5,2,,1002,4656
"De 30 a 34 años (015)",3981,3486,229,917,1236,710,359,31,2,2,495,7284
"De 35 a 39 años (016)",3708,3426,146,545,1007,902,704,102,13,7,282,9115
"De 40 a 44 años (017)",3130,2962,136,399,745,705,749,179,38,11,168,8794
"De 45 a 49 años (018)",2363,2250,93,254,438,495,612,271,62,25,113,7806
"De 50 y más años (019)",4564,4405,260,367,586,705,1189,701,373,224,159,19063
"Ocupada (020)",26386,23382,3825,4906,5194,3795,3649,1267,481,265,3004,57614
