"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUACAYBAMBA (000)",17076,5640,4304,3428,2494,1210
"Hombres (001)",8512,2878,2177,1658,1234,565
"Mujeres (002)",8564,2762,2127,1770,1260,645
"PEA (003)",4660,51,1332,1750,1133,394
"Hombres (004)",3857,33,1080,1415,985,344
"Mujeres (005)",803,18,252,335,148,50
"Ocupada (006)",4423,43,1224,1688,1092,376
"Hombres (007)",3670,31,997,1359,953,330
"Mujeres (008)",753,12,227,329,139,46
"Desocupada (009)",237,8,108,62,41,18
"Hombres (010)",187,2,83,56,32,14
"Mujeres (011)",50,6,25,6,9,4
"No PEA (012)",12416,5589,2972,1678,1361,816
"Hombres (013)",4655,2845,1097,243,249,221
"Mujeres (014)",7761,2744,1875,1435,1112,595
,,,,,,
"URBANA (018)",3220,953,831,745,489,202
"Hombres (019)",1633,483,418,373,265,94
"Mujeres (020)",1587,470,413,372,224,108
"PEA (021)",1122,8,273,491,293,57
"Hombres (022)",812,5,188,338,232,49
"Mujeres (023)",310,3,85,153,61,8
"Ocupada (024)",1069,7,253,471,282,56
"Hombres (025)",766,5,171,318,223,49
"Mujeres (026)",303,2,82,153,59,7
"Desocupada (027)",53,1,20,20,11,1
"Hombres (028)",46,,17,20,9,
"Mujeres (029)",7,1,3,,2,1
"No PEA (030)",2098,945,558,254,196,145
"Hombres (031)",821,478,230,35,33,45
"Mujeres (032)",1277,467,328,219,163,100
,,,,,,
"RURAL (036)",13856,4687,3473,2683,2005,1008
"Hombres (037)",6879,2395,1759,1285,969,471
"Mujeres (038)",6977,2292,1714,1398,1036,537
"PEA (039)",3538,43,1059,1259,840,337
"Hombres (040)",3045,28,892,1077,753,295
"Mujeres (041)",493,15,167,182,87,42
"Ocupada (042)",3354,36,971,1217,810,320
"Hombres (043)",2904,26,826,1041,730,281
"Mujeres (044)",450,10,145,176,80,39
"Desocupada (045)",184,7,88,42,30,17
"Hombres (046)",141,2,66,36,23,14
"Mujeres (047)",43,5,22,6,7,3
"No PEA (048)",10318,4644,2414,1424,1165,671
"Hombres (049)",3834,2367,867,208,216,176
"Mujeres (050)",6484,2277,1547,1216,949,495
