"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TAYACAJA (000)",25505,14791,10714
"Red pública dentro de la vivienda (001)",3485,2810,675
"Red pública fuera de la vivienda (002)",1881,1440,441
"Pilón de uso público (003)",480,339,141
"Camión - cisterna u otro similar (004)",14,10,4
"Pozo (005)",807,435,372
"Río, acequia, manatial o similar (006)",17612,9228,8384
"Vecino (007)",812,349,463
"Otro (008)",414,180,234
,,,
"URBANA (010)",6179,4648,1531
"Red pública dentro de la vivienda (011)",2451,2030,421
"Red pública fuera de la vivienda (012)",522,429,93
"Pilón de uso público (013)",95,73,22
"Camión - cisterna u otro similar (014)",4,3,1
"Pozo (015)",279,210,69
"Río, acequia, manatial o similar (016)",2485,1759,726
"Vecino (017)",266,100,166
"Otro (018)",77,44,33
,,,
"RURAL (020)",19326,10143,9183
"Red pública dentro de la vivienda (021)",1034,780,254
"Red pública fuera de la vivienda (022)",1359,1011,348
"Pilón de uso público (023)",385,266,119
"Camión - cisterna u otro similar (024)",10,7,3
"Pozo (025)",528,225,303
"Río, acequia, manatial o similar (026)",15127,7469,7658
"Vecino (027)",546,249,297
"Otro (028)",337,136,201
