"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUALGAYOC (000)",42533,38999,1134,719,1681
"Agric., ganadería, caza y silvicultura (001)",26445,26076,311,45,13
"Pesca (002)",4,2,2,,
"Explotación de minas y canteras (003)",1395,149,50,113,1083
"Industrias manufactureras (004)",8718,8626,71,14,7
"Suministro de electricidad, gas y agua (005)",21,5,,13,3
"Construcción (006)",477,308,93,59,17
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1630,1559,62,6,3
"Venta, mant.y rep. veh.autom y motoc. (008)",71,62,6,,3
"Comercio al por mayor (009)",45,43,1,1,
"Comercio al por menor (010)",1514,1454,55,5,
"Hoteles y restaurantes (011)",303,276,16,1,10
"Trans., almac. y comunicaciones (012)",551,456,34,37,24
"Intermediación financiera (013)",13,4,3,,6
"Activid.inmobil., empres. y alquileres (014)",127,50,18,39,20
"Admin.pub. y defensa; p. segur soc.afil (015)",283,,,,283
"Enseñanza (016)",1273,500,414,328,31
"Servicios sociales y de salud (017)",211,48,6,8,149
"Otras activ. serv.comun.soc y personales (018)",238,178,30,26,4
"Hogares privados con servicio doméstico (019)",412,412,,,
"Actividad economica no especificada (021)",432,350,24,30,28
"Hombres (022)",23176,20390,853,530,1403
"Agric., ganadería, caza y silvicultura (023)",16913,16590,272,40,11
"Pesca (024)",1,1,,,
"Explotación de minas y canteras (025)",1259,136,49,99,975
"Industrias manufactureras (026)",1689,1617,56,12,4
"Suministro de electricidad, gas y agua (027)",19,4,,12,3
"Construcción (028)",464,301,90,57,16
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",779,730,43,3,3
"Venta, mant.y rep. veh.autom y motoc. (030)",67,58,6,,3
"Comercio al por mayor (031)",30,28,1,1,
"Comercio al por menor (032)",682,644,36,2,
"Hoteles y restaurantes (033)",75,59,10,1,5
"Trans., almac. y comunicaciones (034)",536,442,34,37,23
"Intermediación financiera (035)",9,3,3,,3
"Activid.inmobil., empres. y alquileres (036)",92,35,10,34,13
"Admin.pub. y defensa; p. segur soc.afil (037)",230,,,,230
"Enseñanza (038)",692,240,241,188,23
"Servicios sociales y de salud (039)",108,33,5,4,66
"Otras activ. serv.comun.soc y personales (040)",117,70,26,19,2
"Hogares privados con servicio doméstico (041)",13,13,,,
