"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SAN PABLO (000)",21452,6811,1473,181,13008
"Sin Nivel (001)",4365,1498,206,11,2654
"Educación Inicial (002)",415,296,46,3,71
"Primaria (003)",11252,3834,538,69,6822
"Secundaria (004)",4131,1116,261,48,2708
"Sup. no Univ. Incompleta (005)",338,27,23,3,285
"Sup. no Univ. Completa (006)",643,26,250,20,349
"Sup. Univ. Incompleta (007)",80,6,17,12,45
"Sup. Univ. Completa (008)",228,8,132,15,74
"Hombres (010)",10411,3178,727,114,6400
"Sin Nivel (011)",1373,613,85,6,669
"Educación Inicial (012)",172,129,21,3,20
"Primaria (013)",5624,1800,276,36,3516
"Secundaria (014)",2491,591,125,31,1745
"Sup. no Univ. Incompleta (015)",193,16,8,2,167
"Sup. no Univ. Completa (016)",347,18,115,14,201
"Sup. Univ. Incompleta (017)",53,3,11,11,28
"Sup. Univ. Completa (018)",158,8,86,11,54
"Mujeres (020)",11041,3633,746,67,6608
"Sin Nivel (021)",2992,885,121,5,1985
"Educación Inicial (022)",243,167,25,,51
"Primaria (023)",5628,2034,262,33,3306
"Secundaria (024)",1640,525,136,17,963
"Sup. no Univ. Incompleta (025)",145,11,15,1,118
"Sup. no Univ. Completa (026)",296,8,135,6,148
"Sup. Univ. Incompleta (027)",27,3,6,1,17
"Sup. Univ. Completa (028)",70,,46,4,20
,,,,,
"URBANA (030)",3340,524,749,97,1974
"Sin Nivel (031)",372,101,53,2,217
"Educación Inicial (032)",74,27,21,1,25
"Primaria (033)",1124,223,189,25,687
"Secundaria (034)",933,141,164,27,601
"Sup. no Univ. Incompleta (035)",187,13,14,3,157
"Sup. no Univ. Completa (036)",445,14,192,18,223
"Sup. Univ. Incompleta (037)",47,2,10,11,24
"Sup. Univ. Completa (038)",158,3,106,10,40
"Hombres (040)",1611,248,353,59,953
"Sin Nivel (041)",120,37,19,1,63
"Educación Inicial (042)",34,13,10,1,10
"Primaria (043)",512,111,92,9,300
"Secundaria (044)",496,71,76,16,333
"Sup. no Univ. Incompleta (045)",92,6,5,2,79
"Sup. no Univ. Completa (046)",225,7,80,13,126
"Sup. Univ. Incompleta (047)",30,,6,10,14
"Sup. Univ. Completa (048)",102,3,65,7,28
"Mujeres (050)",1729,276,396,38,1021
"Sin Nivel (051)",252,64,34,1,154
"Educación Inicial (052)",40,14,11,,15
"Primaria (053)",612,112,97,16,387
"Secundaria (054)",437,70,88,11,268
"Sup. no Univ. Incompleta (055)",95,7,9,1,78
"Sup. no Univ. Completa (056)",220,7,112,5,97
"Sup. Univ. Incompleta (057)",17,2,4,1,10
"Sup. Univ. Completa (058)",56,,41,3,12
,,,,,
"RURAL (060)",18112,6287,724,84,11034
"Sin Nivel (061)",3993,1397,153,9,2437
"Educación Inicial (062)",341,269,25,2,46
"Primaria (063)",10128,3611,349,44,6135
"Secundaria (064)",3198,975,97,21,2107
"Sup. no Univ. Incompleta (065)",151,14,9,,128
"Sup. no Univ. Completa (066)",198,12,58,2,126
"Sup. Univ. Incompleta (067)",33,4,7,1,21
"Sup. Univ. Completa (068)",70,5,26,5,34
"Hombres (070)",8800,2930,374,55,5447
"Sin Nivel (071)",1253,576,66,5,606
"Educación Inicial (072)",138,116,11,2,10
"Primaria (073)",5112,1689,184,27,3216
"Secundaria (074)",1995,520,49,15,1412
"Sup. no Univ. Incompleta (075)",101,10,3,,88
"Sup. no Univ. Completa (076)",122,11,35,1,75
"Sup. Univ. Incompleta (077)",23,3,5,1,14
"Sup. Univ. Completa (078)",56,5,21,4,26
"Mujeres (080)",9312,3357,350,29,5587
"Sin Nivel (081)",2740,821,87,4,1831
"Educación Inicial (082)",203,153,14,,36
"Primaria (083)",5016,1922,165,17,2919
"Secundaria (084)",1203,455,48,6,695
"Sup. no Univ. Incompleta (085)",50,4,6,,40
"Sup. no Univ. Completa (086)",76,1,23,1,51
"Sup. Univ. Incompleta (087)",10,1,2,,7
"Sup. Univ. Completa (088)",14,,5,1,8
