"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DOS DE MAYO (000)",211,211,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",38,38,
"Hospital, clinica (004)",18,18,
"Cárcel, centro de readaptación social (005)",39,39,
"Otro (008)",47,47,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",69,69,
