"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ABANCAY (000)",24837,23486,58,4700,4384,3548,4987,3303,1839,667,1351,90152
"De 12 a 14 años (001)",39,18,2,13,3,,,,,,21,19
"De 15 a 19 años (002)",658,580,9,501,59,9,2,,,,78,654
"De 20 a 24 años (003)",2661,2118,13,1410,522,137,28,8,,,543,3031
"De 25 a 29 años (004)",3133,2746,5,1125,931,455,217,11,2,,387,5352
"De 30 a 34 años (005)",3191,3062,2,633,971,696,641,108,10,1,129,8224
"De 35 a 39 años (006)",3031,2976,3,319,697,658,890,331,68,10,55,10394
"De 40 a 44 años (007)",2622,2587,4,186,410,478,792,494,192,31,35,11045
"De 45 a 49 años (008)",2144,2124,5,136,248,337,583,490,258,67,20,10294
"De 50 y más años (009)",7358,7275,15,377,543,778,1834,1861,1309,558,83,41139
"PEA (010)",9769,9128,15,2143,2078,1651,1797,899,400,145,641,29858
"De 12 a 14 años (011)",3,2,,1,1,,,,,,1,3
"De 15 a 19 años (012)",170,147,3,131,11,2,,,,,23,159
"De 20 a 24 años (013)",889,676,2,494,134,38,6,2,,,213,913
"De 25 a 29 años (014)",1303,1065,3,536,338,131,52,4,1,,238,1859
"De 30 a 34 años (015)",1520,1431,,410,513,287,193,25,2,1,89,3313
"De 35 a 39 años (016)",1474,1446,2,217,433,356,331,91,13,3,28,4313
"De 40 a 44 años (017)",1417,1391,2,131,291,333,409,172,45,8,26,5066
"De 45 a 49 años (018)",1064,1053,2,92,171,227,300,175,62,24,11,4340
"De 50 y más años (019)",1929,1917,1,131,186,277,506,430,277,109,12,9892
"Ocupada (020)",9372,8813,14,2028,2004,1603,1747,882,394,141,559,29036
