"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia POMABAMBA (000)",7087,76,2379,2643,828,281,100,46,7,,727
"Sin Nivel (001)",3806,55,1261,1458,459,163,57,26,5,,322
"Educación Inicial (002)",22,,6,7,5,,,,,,4
"Primaria (003)",1585,14,637,556,148,50,14,9,1,,156
"Secundaria (004)",770,5,283,277,58,13,8,5,,,121
"Sup. no Univ. Incompleta (005)",175,,51,77,9,5,3,,,,30
"Sup. no Univ. Completa (006)",477,1,89,193,98,31,10,4,,,51
"Sup. Univ. Incompleta (007)",73,,19,26,6,3,3,,,,16
"Sup. Univ. Completa (008)",179,1,33,49,45,16,5,2,1,,27
,,,,,,,,,,,
"URBANA (010)",1684,21,490,552,233,90,38,22,3,,235
"Sin Nivel (011)",346,12,96,95,45,18,9,6,1,,64
"Educación Inicial (012)",6,,2,2,,,,,,,2
"Primaria (013)",341,6,132,99,39,18,6,5,1,,35
"Secundaria (014)",316,1,113,106,31,10,6,5,,,44
"Sup. no Univ. Incompleta (015)",117,,36,48,5,4,2,,,,22
"Sup. no Univ. Completa (016)",352,1,73,139,68,23,8,4,,,36
"Sup. Univ. Incompleta (017)",55,,12,21,5,2,3,,,,12
"Sup. Univ. Completa (018)",151,1,26,42,40,15,4,2,1,,20
,,,,,,,,,,,
"RURAL (020)",5403,55,1889,2091,595,191,62,24,4,,492
"Sin Nivel (021)",3460,43,1165,1363,414,145,48,20,4,,258
"Educación Inicial (022)",16,,4,5,5,,,,,,2
"Primaria (023)",1244,8,505,457,109,32,8,4,,,121
"Secundaria (024)",454,4,170,171,27,3,2,,,,77
"Sup. no Univ. Incompleta (025)",58,,15,29,4,1,1,,,,8
"Sup. no Univ. Completa (026)",125,,16,54,30,8,2,,,,15
"Sup. Univ. Incompleta (027)",18,,7,5,1,1,,,,,4
"Sup. Univ. Completa (028)",28,,7,7,5,1,1,,,,7
