"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia RIOJA (000)",945,263,682
"Sin nivel (001)",48,13,35
"Primaria (003)",455,101,354
"Secundaria (004)",335,110,225
"Superior no univ. incompleta (005)",21,7,14
"Superior no univ. completa (006)",34,11,23
"Superior univ. incompleta (007)",16,7,9
"Superior univ. completa (008)",36,14,22
"De 14 a 29 años (010)",543,199,344
"Sin nivel (011)",13,6,7
"Primaria (013)",205,65,140
"Secundaria (014)",248,96,152
"Superior no univ. incompleta (015)",13,4,9
"Superior no univ. completa (016)",23,8,15
"Superior univ. incompleta (017)",12,6,6
"Superior univ. completa (018)",29,14,15
"De 30 a 44 años (020)",239,58,181
"Sin nivel (021)",19,7,12
"Primaria (023)",132,32,100
"Secundaria (024)",68,13,55
"Superior no univ. incompleta (025)",4,2,2
"Superior no univ. completa (026)",8,3,5
"Superior univ. incompleta (027)",2,1,1
"Superior univ. completa (028)",6,,6
"De 45 a 64 años (030)",132,6,126
"Sin nivel (031)",8,,8
"Primaria (033)",97,4,93
"Secundaria (034)",18,1,17
"Superior no univ. incompleta (035)",3,1,2
"Superior no univ. completa (036)",3,,3
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",31,,31
"Sin nivel (041)",8,,8
"Primaria (043)",21,,21
"Secundaria (044)",1,,1
"Superior no univ. incompleta (045)",1,,1
,,,
"AREA URBANA (050)",816,201,615
"Sin nivel (051)",36,8,28
"Primaria (053)",372,61,311
"Secundaria (054)",304,94,210
"Superior no univ. incompleta (055)",21,7,14
"Superior no univ. completa (056)",33,10,23
"Superior univ. incompleta (057)",15,7,8
"Superior univ. completa (058)",35,14,21
"De 14 a 29 años (060)",456,152,304
"Sin nivel (061)",5,2,3
"Primaria (063)",150,35,115
"Secundaria (064)",226,83,143
"Superior no univ. incompleta (065)",13,4,9
"Superior no univ. completa (066)",23,8,15
"Superior univ. incompleta (067)",11,6,5
"Superior univ. completa (068)",28,14,14
"De 30 a 44 años (070)",208,44,164
"Sin nivel (071)",17,6,11
"Primaria (073)",113,23,90
"Secundaria (074)",59,10,49
"Superior no univ. incompleta (075)",4,2,2
"Superior no univ. completa (076)",7,2,5
"Superior univ. incompleta (077)",2,1,1
"Superior univ. completa (078)",6,,6
"De 45 a 64 años (080)",124,5,119
"Sin nivel (081)",6,,6
"Primaria (083)",91,3,88
"Secundaria (084)",18,1,17
"Superior no univ. incompleta (085)",3,1,2
"Superior no univ. completa (086)",3,,3
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",28,,28
"Sin nivel (091)",8,,8
"Primaria (093)",18,,18
"Secundaria (094)",1,,1
"Superior no univ. incompleta (095)",1,,1
,,,
"AREA RURAL (100)",129,62,67
"Sin nivel (101)",12,5,7
"Primaria (103)",83,40,43
"Secundaria (104)",31,16,15
"Superior no univ. completa (106)",1,1,
"Superior univ. incompleta (107)",1,,1
"Superior univ. completa (108)",1,,1
"De 14 a 29 años (110)",87,47,40
"Sin nivel (111)",8,4,4
"Primaria (113)",55,30,25
"Secundaria (114)",22,13,9
"Superior univ. incompleta (117)",1,,1
"Superior univ. completa (118)",1,,1
"De 30 a 44 años (120)",31,14,17
"Sin nivel (121)",2,1,1
"Primaria (123)",19,9,10
"Secundaria (124)",9,3,6
"Superior no univ. completa (126)",1,1,
"De 45 a 64 años (130)",8,1,7
"Sin nivel (131)",2,,2
"Primaria (133)",6,1,5
"De 65 y más años (140)",3,,3
"Primaria (143)",3,,3
